dates,nzd0202-0000,nzd0202-0001,nzd0202-0002,nzd0202-0003,nzd0202-0004,nzd0202-0005,nzd0202-0006,nzd0202-0007,nzd0202-0008,nzd0202-0009,nzd0202-0010,nzd0202-0011,nzd0202-0014,nzd0202-0015,nzd0202-0016,nzd0202-0012,nzd0202-0013,nzd0202-0017,nzd0202-0018,nzd0202-0019,nzd0202-0020,nzd0202-0021,nzd0202-0022,nzd0202-0023,nzd0202-0024,nzd0202-0025,nzd0202-0026,nzd0202-0027,nzd0202-0028,nzd0202-0029,nzd0202-0030,nzd0202-0031,nzd0202-0032,nzd0202-0033,nzd0202-0034,nzd0202-0035,nzd0202-0036,nzd0202-0037,nzd0202-0038,nzd0202-0039,nzd0202-0040,nzd0202-0041,nzd0202-0042,nzd0202-0043,satname
2001-01-03 22:02:36+00:00,,,,,348.52,381.06,,,,336.78,331.44,342.82,260.0,252.53,236.21,,,235.3,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-02-20 22:02:36+00:00,,,,,330.125,363.895,,,,324.68499999999995,319.58500000000004,327.4,251.62,245.47,232.735,,,225.08,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-03-01 21:56:21+00:00,401.17,406.56,,,330.125,363.895,,,,324.68499999999995,319.58500000000004,327.4,251.62,245.47,232.735,397.47,399.08,225.08,393.78,372.3,362.66,,329.94,327.59,329.34,,300.86,258.91,287.61,311.98,315.0,289.0,326.28,299.1,281.19,239.34,,,,,,,,,L7
2001-03-24 22:02:23+00:00,398.375,392.84000000000003,,,330.125,363.895,,,,324.68499999999995,319.58500000000004,327.4,251.62,245.47,232.735,403.155,399.585,225.08,378.32,352.71500000000003,342.84000000000003,,329.94,327.59,329.34,,300.86,258.91,287.61,311.98,315.0,289.0,326.28,299.1,281.19,239.34,,,,,,,,,L7
2001-10-11 21:54:09+00:00,,,,,,,,,,291.16,303.96,308.47,270.74,241.85,225.41,,,231.68,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-01-22 22:01:04+00:00,,,,,,,448.95,417.76,408.27,360.415,361.03999999999996,358.22,322.16499999999996,241.85,252.06,411.74,392.59,231.68,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-02-16 21:54:54+00:00,385.22,389.54,,,,,431.54999999999995,410.865,399.78499999999997,372.8233333333333,371.6133333333333,366.93,341.2733333333333,241.85,296.5433333333333,400.485,390.63,231.68,364.23,353.8,,,317.86,300.71,311.03,,275.39,237.24,254.99,300.72,285.22,267.26,291.03,280.04,257.31,,,,,,,,,,L7
2003-01-18 21:54:30+00:00,,,,,325.9,375.55,,,363.28,387.46,375.96,376.01,364.57,,371.88,378.31,376.08,283.78,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2003-03-23 21:54:40+00:00,370.79,381.79,,,325.9,376.395,,367.45,367.635,389.74,377.58,375.36,360.33500000000004,,365.35,375.3,373.90999999999997,312.995,342.3,349.17,,,,226.77,,,,,,,,269.52,283.61,,,,,,,,,,,,L7
2003-08-13 21:49:09+00:00,370.79,381.79,,,,393.115,417.45,395.17499999999995,371.99,405.65999999999997,395.65,393.1,344.815,,355.64,389.145,378.08000000000004,346.82,342.3,349.17,,,,226.77,,,,,,,,269.52,283.61,,,,,,,,,,,,L5
2003-09-14 21:49:42+00:00,370.79,381.79,,,,409.31,433.15999999999997,395.17499999999995,371.99,405.65999999999997,395.65,405.31333333333333,344.815,,361.96000000000004,397.5133333333333,389.5133333333333,353.1933333333333,346.42,338.17,324.72,,285.7,238.315,240.26,,,,,,,269.52,283.61,,,,,,,,,,,,L5
2003-10-25 21:44:04+00:00,353.8,374.05,370.35,,369.11,425.345,433.15999999999997,407.235,364.67,407.735,408.435,407.3766666666666,339.91999999999996,,357.45000000000005,397.99,388.06666666666666,346.72333333333336,350.54,306.06,284.165,,242.655,249.86,240.26,,,,,,,,,,,,,,,,,,,,L5
2003-11-17 21:50:33+00:00,353.8,374.05,370.35,,408.52,428.24666666666667,433.6433333333334,415.95666666666665,364.67,412.2866666666667,408.77666666666664,403.78749999999997,350.2633333333333,,361.81500000000005,396.46750000000003,386.5475,350.59499999999997,347.745,292.5566666666667,267.21333333333337,169.28,242.655,249.86,240.26,,,,,,,,,,,,,,,,,,,,L5
2004-01-04 21:50:58+00:00,353.8,374.05,370.35,,418.62000000000006,430.9425,432.46500000000003,420.0725,364.67,419.6,413.345,405.37199999999996,358.3275,,356.454,396.574,385.174,350.59499999999997,347.745,282.6725,257.6125,180.76999999999998,242.655,249.86,240.26,,,,,,,,,,,,,,,,,,,,L5
2004-02-05 21:51:05+00:00,353.8,374.05,370.35,,426.79,433.86,429.634,418.1,381.125,419.442,407.996,403.8966666666667,358.3275,288.23,356.454,395.6016666666667,382.19166666666666,350.59499999999997,347.745,275.35,249.228,178.26999999999998,242.655,249.86,240.26,,,,,,,,,,,,,,,,,,,,L5
2004-02-21 21:51:11+00:00,353.8,374.05,370.35,,430.062,438.468,429.73199999999997,417.082,395.85999999999996,421.046,410.10600000000005,402.4483333333333,370.5025,299.0,357.4525,393.24,381.8183333333333,346.37249999999995,339.8866666666667,272.9166666666667,245.73666666666668,180.79500000000002,242.655,249.86,240.26,,,,,,,,,,,,,,,,,,,,L5
2004-03-01 21:45:02+00:00,371.245,379.315,375.755,390.31,422.12000000000006,427.4483333333333,416.76,417.082,395.85999999999996,421.046,410.10600000000005,402.4483333333333,371.716,299.0,356.886,392.3314285714286,381.8885714285714,347.99799999999993,327.8025,273.47285714285715,244.8542857142857,193.658,225.13,249.86,240.26,,,,,,,,,,,,,,,,,,,,L5
2004-03-17 21:45:08+00:00,374.49333333333334,381.98,379.44000000000005,393.59000000000003,418.39,416.64833333333337,404.63166666666666,411.56166666666667,391.5,417.1116666666667,406.73333333333335,393.91499999999996,373.3966666666667,299.0,355.878,388.3257142857143,376.24285714285713,347.552,320.22333333333336,267.2471428571429,232.57857142857142,199.795,188.4466666666667,,,,,,,,,,,,,,,,,,,,,,L5
2004-04-02 21:45:18+00:00,374.455,383.21,380.595,394.56,415.0025,411.06428571428575,398.96285714285716,408.55,389.29,414.61571428571426,404.6657142857143,392.74142857142857,373.84999999999997,299.0,358.585,388.7125,377.55499999999995,350.52833333333336,320.22333333333336,268.80625,234.69625,205.94,190.1725,,,,,,,,,,,,,,,,,,,,,,L5
2004-04-18 21:45:49+00:00,373.788,382.73,381.182,393.5675,411.53222222222223,405.5525,394.895,404.23375,386.23333333333335,411.145,401.7925,389.02375,372.54875,296.98,358.585,388.6466666666667,376.81777777777774,350.52833333333336,307.2875,268.8611111111111,233.99555555555557,207.41875,187.586,,,,,,,,,,,,,,,,,,,,,,L5
2004-07-14 21:54:31+00:00,378.785,384.90000000000003,383.89,393.5675,407.9883333333333,395.22333333333336,382.6033333333333,395.296,390.546,406.01199999999994,394.61199999999997,390.2966666666667,381.9883333333333,321.225,370.86249999999995,393.2442857142857,381.3157142857143,359.40200000000004,310.0325,274.7457142857143,233.37166666666667,221.36857142857144,201.7,237.01,190.0,186.05,,,,,,,,,,,,,,,,,,,L5
2004-07-30 21:54:52+00:00,378.785,384.90000000000003,383.89,393.5675,407.9883333333333,395.22333333333336,382.6033333333333,395.296,390.546,406.01199999999994,394.61199999999997,395.2442857142857,384.05571428571426,336.73199999999997,374.83599999999996,396.32875,385.72625000000005,363.08666666666664,322.41400000000004,284.78499999999997,233.37166666666667,231.13875000000002,219.84833333333333,252.14499999999998,206.815,202.905,,,,,,,,,,,,,,,,,,,L5
2004-08-24 21:49:18+00:00,381.582,386.938,385.75199999999995,393.282,388.30600000000004,372.59000000000003,366.014,385.735,381.3225,397.765,393.16249999999997,392.9266666666667,384.20142857142855,367.51,373.28833333333336,396.86,387.9114285714286,367.65833333333336,328.194,298.5628571428571,239.344,250.63142857142856,228.06428571428572,257.38,197.73666666666668,201.62333333333333,,,,,,,,,,,,,,,,,,,L5
