dates,satname,nzd0366-0000,nzd0366-0001,nzd0366-0002,nzd0366-0003,nzd0366-0004,nzd0366-0005,nzd0366-0006,nzd0366-0007,nzd0366-0008,nzd0366-0009,nzd0366-0010,nzd0366-0011,nzd0366-0012,nzd0366-0013,nzd0366-0014,nzd0366-0015,nzd0366-0016,nzd0366-0017,nzd0366-0018,nzd0366-0019,nzd0366-0020,nzd0366-0021,nzd0366-0022,nzd0366-0023,nzd0366-0024,nzd0366-0025,nzd0366-0026,nzd0366-0027,nzd0366-0028,nzd0366-0029,nzd0366-0030,nzd0366-0031,nzd0366-0032,nzd0366-0033,nzd0366-0034,nzd0366-0035,nzd0366-0036,nzd0366-0037,nzd0366-0038,nzd0366-0039,nzd0366-0040,nzd0366-0041,nzd0366-0042,nzd0366-0043,nzd0366-0044,nzd0366-0045,nzd0366-0046,nzd0366-0047,nzd0366-0048,nzd0366-0049,nzd0366-0050,nzd0366-0051,nzd0366-0052,nzd0366-0053,nzd0366-0054,nzd0366-0055,nzd0366-0056,nzd0366-0057
1999-08-17 22:12:26.065000,L7,245.45,280.38,372.56,417.36,474.07,540.47,373.85,371.34,373.34,358.93,349.69,341.46,332.87,336.49,329.57,437.01,441.15,440.02,456.40,527.92,508.06,512.69,519.37,522.88,510.24,515.81,530.09,545.14,309.29,325.99,321.51,310.63,321.23,323.14,546.35,543.41,543.02,541.75,529.89,548.91,538.37,319.21,317.13,316.90,328.74,340.15,343.84,340.84,352.18,345.92,338.01,372.19,361.77,351.77,343.67,324.92,307.59,280.86
1999-08-26 22:06:20.800000,L7,,,,,289.70,337.25,366.99,363.72,359.35,351.19,335.26,323.27,395.78,379.70,358.61,307.41,296.23,306.18,312.47,303.76,304.32,301.05,293.16,299.85,304.23,369.70,366.80,376.61,391.46,403.70,420.01,376.27,363.80,291.94,292.95,290.48,357.22,358.39,372.87,347.48,344.78,359.81,347.55,355.00,359.69,334.09,318.37,327.10,333.22,326.44,326.45,321.44,318.72,313.98,290.85,305.56,286.60,270.41
1999-09-18 22:12:27.821000,L7,253.49,270.95,316.44,349.57,378.37,400.23,470.73,460.76,454.27,441.66,423.48,406.38,415.43,430.18,410.20,424.68,435.06,437.09,379.65,455.44,461.06,489.60,485.30,371.53,372.85,440.17,449.96,440.63,438.55,455.08,548.36,516.47,517.92,529.89,530.66,534.46,516.94,503.43,520.79,472.69,490.98,491.86,453.06,499.95,491.41,493.79,496.91,496.37,510.07,512.16,521.18,517.04,374.38,376.63,389.38,383.01,380.26,401.68
1999-10-13 22:06:24.714000,L7,222.05,303.20,335.21,352.42,338.47,428.47,438.18,439.30,430.73,415.97,402.37,376.35,382.74,364.09,346.96,352.52,340.58,339.75,336.96,337.83,341.33,347.67,342.56,332.56,326.69,323.12,326.09,334.14,350.23,374.29,329.44,323.18,320.93,441.34,440.90,448.45,455.00,450.64,457.23,463.87,469.99,470.83,475.61,476.37,495.78,498.54,483.30,492.37,496.38,508.67,517.65,540.52,478.29,504.28,501.28,502.08,500.98,532.54
1999-11-21 22:12:24.026000,L7,284.01,329.09,343.21,366.51,410.59,433.15,448.10,461.14,451.24,455.26,420.98,409.80,386.64,385.98,367.89,358.71,360.43,370.90,395.18,422.84,377.64,387.73,387.63,357.77,365.78,358.97,362.13,367.20,358.41,377.15,374.73,370.17,359.33,368.30,369.53,379.94,379.39,358.78,355.25,361.29,379.30,383.46,382.28,379.29,391.56,375.35,394.41,402.88,403.63,402.53,402.60,396.39,395.01,399.38,398.97,384.69,393.20,395.37
2000-01-17 22:06:11.705000,L7,220.50,255.94,272.32,298.84,288.36,338.45,370.89,375.21,385.47,366.10,345.20,339.03,332.53,330.60,339.46,321.84,322.08,323.36,319.54,319.82,316.62,320.39,321.97,321.35,321.40,319.43,313.10,311.73,304.11,305.44,299.28,284.56,236.21,211.19,221.62,203.75,202.99,,,,268.11,292.65,307.24,312.90,320.23,332.37,335.50,343.09,345.51,540.88,505.28,477.79,468.93,440.62,377.34,371.11,348.50,345.68
2000-03-21 22:06:01.097000,L7,,269.65,301.35,277.23,285.17,340.71,358.39,360.57,354.96,364.63,389.35,375.77,368.91,388.69,350.52,365.96,368.35,387.67,378.77,344.77,364.77,362.84,359.32,376.37,373.63,321.78,386.15,396.79,405.24,313.75,398.04,406.05,411.19,374.09,404.36,356.52,348.60,411.61,436.91,446.12,455.83,312.25,319.34,311.47,321.96,319.09,326.35,325.26,323.59,328.93,331.72,327.37,329.64,323.21,225.98,179.01,173.51,175.00
2000-05-24 22:05:22.488000,L7,417.90,277.79,264.52,305.69,317.87,375.36,381.15,367.09,407.89,400.44,361.10,368.09,408.51,396.96,346.79,335.32,346.15,338.17,326.39,316.12,317.73,322.80,350.87,328.66,361.35,366.11,394.71,438.69,454.80,456.87,318.71,325.02,359.84,365.34,305.50,309.94,312.89,312.82,450.32,458.41,474.18,482.72,476.29,467.08,486.97,485.06,500.34,511.59,522.88,347.19,342.38,356.68,341.77,381.85,353.90,339.50,350.05,372.11
2000-05-31 22:11:30.559000,L7,248.49,253.80,275.72,275.72,334.61,379.06,400.16,415.19,416.97,414.83,403.28,392.31,379.73,391.61,367.63,356.94,505.72,511.93,,,,,458.01,525.58,507.54,507.36,485.97,486.26,479.25,481.18,436.90,464.06,478.83,477.55,506.98,518.43,535.44,550.33,462.14,479.91,483.85,487.85,508.99,489.71,489.62,502.99,506.66,521.38,529.75,528.98,,,,,,,376.34,435.12
2000-08-03 22:10:43.917000,L7,373.38,493.63,213.78,244.62,439.58,541.96,497.13,364.13,352.88,352.28,364.27,370.39,331.62,357.80,353.93,354.13,326.67,316.20,323.03,413.24,427.35,432.14,436.15,458.81,324.13,320.80,321.87,332.90,458.87,466.38,486.86,483.33,467.22,459.30,449.89,456.80,465.05,457.98,449.16,457.39,494.97,483.80,484.87,496.50,480.60,489.35,499.69,501.30,516.14,522.90,526.85,515.10,378.18,390.83,345.44,337.03,371.79,352.12
2000-08-19 22:10:38.028000,L7,401.01,346.37,447.42,253.98,273.89,335.84,366.83,360.53,355.34,352.85,388.69,395.28,383.29,429.11,398.42,455.25,354.52,356.57,342.89,321.92,318.08,327.70,327.20,322.88,331.47,349.39,336.12,333.07,472.99,479.39,485.87,479.64,478.58,345.35,325.68,321.60,327.34,329.67,341.00,326.53,328.73,358.34,341.18,341.95,347.42,342.97,346.04,350.17,363.68,353.48,356.43,354.90,351.28,336.84,354.89,335.15,406.21,379.30
2000-09-04 22:10:22.552000,L7,,,,,210.01,343.16,366.83,356.86,350.47,347.61,333.00,329.34,325.86,365.54,556.42,541.92,536.26,527.58,524.91,511.44,518.68,454.63,461.46,467.56,502.23,507.09,429.38,470.32,536.50,526.32,525.52,529.97,481.29,512.55,544.22,301.46,313.52,283.87,251.79,271.23,277.10,284.05,300.72,324.33,475.07,434.58,486.96,501.75,493.98,268.67,271.51,303.27,319.35,494.49,476.76,464.83,484.14,502.17
2000-09-13 22:04:02.015000,L7,,,,,,307.29,341.23,349.21,338.79,329.64,316.23,307.56,303.70,303.95,305.02,298.89,247.87,222.37,257.58,239.76,294.32,294.53,436.75,456.27,471.69,474.31,346.76,373.07,384.56,398.85,288.37,288.08,285.08,404.95,418.46,416.08,525.28,514.59,515.80,538.90,502.98,527.38,519.65,287.10,289.74,390.52,408.79,393.87,429.05,303.25,300.46,304.88,292.41,272.96,,,,
2000-09-20 22:10:03.047000,L7,207.28,224.13,211.91,254.55,301.34,343.62,370.72,363.45,385.03,390.76,367.41,358.14,342.70,351.30,346.82,337.02,328.10,319.25,318.99,313.89,313.73,311.19,315.06,312.40,316.33,318.82,311.33,298.46,303.93,304.03,307.14,307.74,310.02,305.71,310.06,311.68,305.72,303.99,307.78,308.54,315.63,312.41,313.83,315.98,329.72,329.39,327.48,332.82,328.45,331.64,333.51,501.95,516.41,539.40,514.80,534.77,525.42,260.11
2000-11-07 22:09:53.335000,L7,,,,239.65,298.44,335.63,360.35,357.79,377.34,380.55,375.67,368.21,331.99,348.77,339.93,334.51,348.41,338.75,333.38,321.52,383.15,385.11,457.20,465.24,472.20,433.58,399.45,412.97,325.06,320.10,319.20,463.55,466.96,393.03,388.93,427.10,431.60,441.00,446.49,525.73,534.34,536.22,423.15,348.64,351.14,373.96,372.90,382.38,386.97,407.95,425.02,420.43,412.97,423.60,420.78,416.44,431.97,257.36
2001-01-10 22:10:03.706000,L7,261.44,237.98,253.88,294.14,341.82,377.15,396.58,412.96,433.13,439.04,440.31,441.92,431.98,432.90,460.31,435.08,451.33,417.88,411.08,423.67,418.53,416.73,419.32,424.65,404.89,421.41,381.21,381.64,380.36,385.19,401.80,403.71,403.40,400.83,427.24,418.17,441.37,437.99,417.25,450.62,352.34,359.78,407.04,408.98,370.61,373.09,386.77,385.23,402.53,405.68,412.08,413.47,421.36,420.81,455.53,390.00,401.59,413.81
2001-01-19 22:03:55.051000,L7,,,,,,293.72,315.47,316.76,319.11,309.06,307.43,300.12,294.26,288.69,299.53,281.78,295.71,225.94,247.29,290.04,288.37,287.60,283.31,285.36,282.51,278.66,282.62,278.73,274.90,273.89,275.87,268.18,256.21,253.22,178.47,174.28,199.98,216.36,209.51,271.20,272.56,275.43,272.85,253.88,184.45,,,,,,,,,,,,,
2001-02-20 22:03:48.640000,L7,253.93,250.35,311.37,304.00,368.35,406.21,425.73,412.11,472.64,450.15,452.58,439.98,439.01,447.63,429.05,418.39,413.75,417.07,414.05,420.07,417.62,418.29,392.04,401.51,399.67,414.96,424.60,421.21,421.13,416.67,397.84,421.68,410.52,419.93,402.02,400.63,405.35,413.14,416.25,390.79,379.61,376.61,394.70,421.88,432.90,421.10,394.50,406.84,415.59,405.75,390.27,398.34,432.39,450.91,446.30,435.73,396.24,377.41
2001-03-08 22:03:44.911000,L7,,,,,287.77,334.56,348.51,357.18,355.14,347.85,339.23,340.50,327.93,333.14,364.20,362.45,322.47,316.54,362.63,372.68,381.01,387.28,390.14,400.53,357.02,358.94,373.16,372.28,311.10,307.25,307.74,309.46,307.03,303.54,376.82,353.52,303.18,301.78,297.45,376.34,381.83,339.59,364.42,354.44,414.70,429.56,437.27,391.22,423.41,424.81,374.58,385.06,414.90,385.27,406.98,289.87,257.32,212.60
2001-03-31 22:09:43.621000,L7,311.99,303.14,209.64,242.95,319.43,370.42,370.99,360.37,354.46,348.95,340.11,330.84,321.54,323.05,324.15,315.14,320.65,317.78,383.66,396.51,401.81,391.65,415.62,396.15,388.10,349.39,357.41,375.28,372.17,408.92,414.84,418.32,415.24,421.64,422.97,415.71,423.26,426.07,428.03,435.68,440.09,441.42,445.90,344.49,471.54,475.97,447.07,367.26,361.76,363.42,356.11,367.63,362.37,357.42,420.51,408.20,368.87,372.58
2001-05-27 22:03:12.319000,L7,352.18,449.80,515.43,494.91,528.51,343.79,368.40,367.69,387.68,401.27,399.24,403.86,407.04,388.67,364.21,319.63,357.47,321.96,324.58,343.39,323.32,327.79,325.80,322.55,318.27,323.17,322.43,333.49,333.27,343.00,340.52,337.10,315.52,319.08,317.02,320.55,319.34,330.65,322.00,328.44,349.75,314.16,324.25,334.26,336.06,335.43,347.56,316.90,343.58,351.21,345.50,345.37,340.64,350.31,339.07,330.56,332.01,316.02
2001-06-03 22:09:16.498000,L7,,,,,,,269.10,273.37,269.62,283.30,258.31,263.06,294.96,270.18,241.43,199.18,,,,,,,,,,,246.71,278.36,275.46,279.92,281.94,282.01,274.79,239.09,244.74,266.83,223.41,247.38,210.49,270.44,260.25,,,192.87,281.73,210.93,198.28,199.92,,,216.55,281.43,275.07,248.86,,,,
2001-06-19 22:09:05.508000,L7,,,,,,166.94,357.08,360.37,386.46,376.95,392.87,440.58,455.76,328.88,326.42,314.55,329.51,322.34,321.24,319.78,327.91,308.63,315.76,313.79,313.76,311.06,314.51,293.12,312.89,309.27,301.26,303.12,308.81,295.25,332.20,348.48,309.65,303.02,336.54,337.66,344.25,308.02,348.32,364.64,388.66,388.62,391.91,317.60,317.74,325.42,323.67,318.09,315.86,323.22,303.43,433.61,450.46,
2001-07-05 22:08:57.615000,L7,,,,,,260.93,321.06,330.87,333.73,295.08,296.20,309.51,303.70,295.97,287.71,292.13,,,,,288.66,287.38,284.70,255.95,249.81,225.51,199.32,278.46,283.03,289.95,284.39,285.23,286.76,282.16,276.56,263.75,281.54,277.46,197.12,279.06,273.65,264.61,286.07,269.27,262.48,277.33,273.62,244.09,259.39,265.06,258.66,,,,,,,
2001-07-14 22:02:45.650000,L7,,,,,,,,337.03,292.49,298.76,300.10,314.39,307.13,296.02,292.10,287.12,279.19,,,,275.48,289.51,219.72,284.65,278.95,294.74,292.45,284.00,291.40,287.77,286.35,278.53,273.34,264.91,271.07,267.54,221.35,226.53,288.74,288.32,277.26,235.33,186.60,270.80,263.04,283.08,276.25,282.10,261.70,271.49,281.10,284.99,174.11,262.41,,,,
2001-08-15 22:02:14.505000,L7,,,,,234.92,329.74,338.96,352.50,351.58,344.78,341.95,340.61,323.28,338.23,316.21,384.65,367.55,388.09,386.14,376.76,365.40,310.03,313.08,308.84,311.95,306.08,314.17,287.01,315.44,394.43,408.13,421.74,388.14,437.27,313.58,315.10,311.41,300.30,305.57,306.75,304.61,307.03,309.03,416.62,427.51,442.28,388.01,363.41,411.47,427.34,435.49,410.11,400.69,348.79,387.28,413.51,431.97,481.45
2001-08-31 22:02:05.221000,L7,,,,,,329.04,337.94,352.82,354.03,356.03,341.26,332.65,327.43,327.93,320.25,378.81,431.00,419.13,417.94,384.12,377.97,366.57,377.62,345.03,363.53,321.18,313.17,307.01,305.34,308.62,311.31,322.23,314.27,299.92,301.00,306.32,304.68,305.58,299.21,302.66,306.35,349.19,359.49,364.88,350.00,315.66,316.71,343.90,362.05,394.32,388.00,392.66,360.59,371.49,311.03,306.21,298.30,268.94
2001-09-23 22:08:02.998000,L7,,,,,288.00,349.51,361.71,369.25,392.83,409.23,417.68,405.27,389.62,367.34,358.83,348.96,355.88,356.16,334.51,438.92,433.66,443.91,447.39,462.53,472.98,494.10,515.27,535.12,547.94,513.17,523.27,531.16,531.27,533.97,525.44,503.25,476.64,482.73,480.82,471.27,502.58,526.05,519.99,521.83,523.48,521.71,539.18,362.68,367.31,347.79,342.41,339.87,338.16,351.10,338.54,328.77,312.56,329.89
2001-10-02 22:01:40.483000,L7,,,,,244.85,320.46,339.01,364.25,370.37,388.74,393.75,404.53,390.44,376.50,318.28,354.21,336.95,328.31,353.83,315.70,313.60,315.35,319.98,324.74,333.36,329.42,327.27,323.81,320.61,317.94,315.16,317.96,317.11,314.80,316.37,318.53,306.40,353.54,335.37,308.48,304.14,308.34,312.99,321.28,346.51,362.68,352.35,333.46,326.98,330.20,328.03,331.54,353.45,371.82,324.53,321.84,301.98,296.97
2001-11-03 22:01:46.660000,L7,,,,,281.64,331.04,352.81,369.55,397.75,366.13,403.19,391.50,386.62,375.31,365.77,434.31,423.72,423.86,397.49,395.27,393.17,360.18,412.17,425.73,438.73,536.28,541.63,546.84,550.26,445.58,430.66,448.25,433.85,439.03,414.91,369.39,426.61,438.47,431.13,388.31,429.57,436.98,434.78,540.07,542.56,545.71,330.48,328.95,325.54,327.82,332.23,370.30,328.80,321.84,312.37,303.95,283.43,270.59
2001-12-21 22:02:05.831000,L7,363.19,411.61,400.57,226.60,267.76,332.80,345.30,355.21,348.15,338.92,401.42,400.20,412.01,417.37,423.14,407.27,396.58,408.73,386.33,381.04,375.38,369.75,376.30,378.50,374.63,375.58,398.41,410.19,429.50,435.05,374.48,326.73,322.96,314.40,358.72,351.30,315.50,341.68,354.61,346.06,313.74,328.65,336.51,334.92,329.93,339.98,334.03,335.64,342.28,349.87,342.11,344.63,352.59,356.31,347.80,353.34,340.13,353.91
2002-02-07 22:02:17.936000,L7,514.92,330.85,502.23,525.79,294.52,324.61,340.23,357.65,397.48,341.94,342.69,333.66,531.74,477.95,382.29,383.60,361.26,376.48,398.88,367.98,,,509.93,522.78,307.19,299.99,233.82,,,,232.57,250.12,353.21,316.22,315.26,317.09,303.42,306.24,416.43,437.81,401.16,427.18,403.53,530.02,,,,299.93,378.73,550.73,484.75,410.39,328.56,330.10,331.34,320.42,318.30,310.18
2002-02-14 22:08:29.220000,L7,,,,,306.11,349.85,350.47,369.43,361.04,347.12,342.56,332.77,397.75,433.68,417.80,415.52,410.63,401.06,353.96,373.04,383.23,378.62,378.56,383.78,393.41,390.53,393.56,396.57,416.11,362.54,336.10,353.51,379.82,374.70,426.91,419.63,412.83,412.46,425.35,421.36,430.39,427.59,324.23,427.14,424.65,374.87,426.90,431.35,423.74,432.28,332.21,338.17,337.97,338.46,340.34,331.66,322.00,317.69
2002-05-30 22:02:01.786000,L7,298.66,518.15,473.92,202.93,292.90,346.00,367.81,367.38,387.39,404.97,408.78,405.39,405.28,382.24,386.15,378.61,376.37,369.25,369.95,355.60,357.44,525.66,518.99,519.44,519.16,528.55,540.14,354.97,365.84,353.50,358.83,386.62,374.76,339.41,330.54,349.47,334.16,341.12,338.79,339.94,329.22,362.25,338.14,337.79,341.22,506.76,506.50,502.32,508.83,506.25,521.89,518.35,516.25,520.68,526.68,543.69,504.29,533.10
2002-07-17 22:01:44.458000,L7,289.66,289.82,487.60,527.73,492.82,343.93,373.79,366.61,379.67,391.06,437.00,456.07,465.92,506.95,473.21,489.17,500.95,487.50,481.01,476.74,461.67,445.49,438.28,439.06,431.59,458.65,460.11,460.00,472.12,478.57,533.65,,479.71,523.28,521.04,527.77,536.70,529.70,534.20,541.00,403.54,447.14,448.49,459.29,540.94,540.95,529.57,520.69,516.63,516.58,525.15,531.94,533.05,539.35,482.84,346.29,352.57,375.34
2002-07-24 22:07:50.432000,L7,,,,,,277.26,327.55,353.54,343.40,341.99,332.29,324.35,315.70,307.03,308.89,306.74,521.31,519.85,524.17,523.77,508.43,502.97,499.72,514.62,541.54,299.73,300.25,285.65,294.85,295.40,291.56,293.62,287.80,282.85,294.67,254.44,293.72,289.37,287.95,290.86,294.48,293.86,305.95,290.88,293.84,305.69,240.07,245.84,257.08,232.38,269.37,310.57,287.35,249.46,,427.50,432.08,449.60
2002-08-18 22:01:33.502000,L7,,,,,,272.95,238.91,276.27,294.15,282.39,307.63,299.25,299.40,293.40,252.32,291.75,280.99,291.67,289.21,291.55,253.98,,,,,267.81,276.88,274.66,271.68,279.34,281.20,278.26,274.21,263.23,,,230.05,247.27,272.57,270.33,252.92,254.97,267.34,252.53,275.58,265.00,253.25,215.13,,,,,,,,,,
2002-08-25 22:07:36.489000,L7,,,,,,286.99,281.35,307.41,286.57,285.46,312.96,300.61,298.73,296.02,289.21,291.77,292.89,290.71,213.01,242.14,245.81,287.89,236.14,283.08,277.68,268.20,276.16,275.27,281.36,278.10,282.04,277.22,271.43,258.78,,252.09,269.90,279.00,264.60,279.89,250.82,268.87,275.91,227.68,274.85,253.98,254.37,251.13,245.46,251.42,276.03,270.88,247.15,,,,,
