dates,nzd0205-0000,nzd0205-0001,nzd0205-0002,nzd0205-0003,nzd0205-0004,nzd0205-0005,nzd0205-0007,nzd0205-0008,nzd0205-0009,nzd0205-0010,nzd0205-0011,nzd0205-0012,nzd0205-0013,nzd0205-0014,nzd0205-0015,nzd0205-0016,nzd0205-0025,nzd0205-0026,nzd0205-0027,nzd0205-0028,nzd0205-0029,nzd0205-0030,nzd0205-0006,nzd0205-0017,nzd0205-0018,nzd0205-0019,nzd0205-0020,nzd0205-0021,nzd0205-0022,nzd0205-0023,nzd0205-0024,nzd0205-0031,nzd0205-0032,nzd0205-0033,satname
1999-08-26 22:05:08+00:00,,,275.15,288.12,277.95,267.81,,302.48,,,278.27,,267.04,261.11,257.49,257.14,205.74,213.05,217.89,236.71,235.03,215.77,,,,,,,,,,,,,L7
1999-09-27 22:05:12+00:00,,,293.86,288.12,288.955,287.09000000000003,,302.48,,,278.27,305.87,281.235,276.665,265.025,263.375,216.96,219.57,222.70499999999998,242.06,242.54500000000002,227.5,,262.02,259.73,251.29,241.32,273.24,250.53,242.97,237.62,171.02,,,L7
1999-10-13 22:05:12+00:00,,,306.1133333333333,288.12,288.955,287.09000000000003,,302.48,,,278.27,312.49,281.235,276.665,274.29333333333335,270.6766666666667,226.13333333333333,219.57,222.70499999999998,242.06,250.0666666666667,234.20000000000002,,271.085,265.28,259.52,249.53,278.75,261.385,251.90499999999997,244.10500000000002,188.065,,,L7
1999-12-25 21:58:52+00:00,,,306.1133333333333,271.26,288.955,275.87333333333333,,294.93,290.81,285.34,290.49,306.0833333333333,282.59666666666664,278.1333333333334,275.3675,273.2125,226.13333333333333,219.57,222.70499999999998,242.06,250.0666666666667,234.20000000000002,255.25,277.13,270.42,265.72999999999996,260.3333333333333,281.0566666666667,273.2233333333333,265.83666666666664,244.10500000000002,188.065,247.58,,L7
2000-02-18 22:04:53+00:00,,308.6,307.10749999999996,284.1433333333334,292.3333333333333,279.7425,304.58,294.93,290.81,285.34,290.49,306.08,284.3825,279.77,274.602,271.74,226.725,220.08333333333334,222.4,240.17666666666665,248.1125,232.45749999999998,274.83500000000004,273.2725,266.415,261.985,254.775,271.205,273.2233333333333,265.83666666666664,240.97,183.59,247.58,,L7
2000-07-04 21:57:38+00:00,,308.6,310.09,309.91,299.09,291.35,285.36,272.3,283.37,278.8,281.01,290.54999999999995,279.53499999999997,276.83500000000004,269.32500000000005,265.165,249.305,237.5,221.79,236.41,242.25,255.805,274.825,261.7,254.4,252.39,231.04500000000002,241.65,,,234.7,174.64,,,L7
2000-08-05 21:57:08+00:00,,308.6,310.09,309.91,299.09,291.35,285.36,272.3,283.37,290.05,281.01,290.54999999999995,279.53499999999997,276.83500000000004,269.32500000000005,265.165,249.305,237.5,221.79,236.41,242.25,255.805,274.825,261.7,254.4,252.39,231.04500000000002,241.65,,,234.7,174.64,,,L7
2000-10-15 22:02:20+00:00,,,,,,,266.14,272.3,283.37,290.05,281.01,275.03,269.33,268.99,267.11,264.48,270.11,253.89,,,262.5,264.76,255.23,,,254.03,223.99,,305.71,303.2,,,,,L7
2001-01-03 22:02:36+00:00,,,,345.17,,,344.11,,,301.3,,,,,310.93,,,,,,262.5,245.14,,,,,,,305.71,303.2,,,,,L7
2001-02-04 22:02:38+00:00,,,,345.17,314.29,308.8,332.555,,,,,316.96,,307.03,304.43,288.37,247.63,,,242.7,257.28499999999997,246.07499999999996,315.53,277.88,265.59,,251.02,277.08,286.34000000000003,303.2,259.72,199.54,,,L7
2001-02-20 22:02:36+00:00,,341.23,329.69,341.46500000000003,314.29,308.8,332.555,,,337.34,,316.96,,305.24,304.43,288.37,247.63,,,248.165,256.6066666666666,247.16666666666663,315.53,277.88,265.59,,251.02,277.08,286.34000000000003,303.2,259.72,200.655,,,L7
2001-03-24 22:02:23+00:00,,341.23,329.69,341.46500000000003,314.29,308.8,332.555,,,337.34,,316.96,,302.0433333333333,300.41,288.37,247.63,232.72,,249.58333333333334,256.13,246.62749999999997,315.53,277.88,265.59,,251.02,277.89,279.7166666666667,303.2,259.72,198.23000000000002,,,L7
2001-06-12 22:01:48+00:00,,341.23,329.69,341.46500000000003,314.29,308.8,332.555,,,337.34,,316.96,,302.0433333333333,300.41,288.37,259.55,238.35500000000002,258.25,253.8175,254.00666666666666,247.1233333333333,315.53,266.07,265.59,,251.02,277.89,267.55,,259.72,197.4475,,,L7
2001-06-21 21:55:29+00:00,,341.23,329.69,341.46500000000003,314.29,308.8,318.29333333333335,289.64,291.24,337.34,,316.96,,295.775,294.5725,282.94,262.73,244.25666666666666,265.935,260.12,254.00666666666666,247.1233333333333,299.735,266.07,252.67000000000002,253.83,240.3,256.5466666666666,267.55,,259.72,197.4475,233.44,,L7
2001-08-08 21:55:01+00:00,,341.23,329.69,337.76,,,289.77,289.64,290.75,337.34,,,,288.605,281.58666666666664,279.5,270.28000000000003,244.25666666666666,265.935,264.47499999999997,254.975,247.17999999999995,283.94,254.26,239.75,262.81,243.18,245.46666666666667,267.84000000000003,,,196.75,233.44,,L7
2001-08-15 22:01:02+00:00,,341.23,329.69,337.76,,,289.77,289.64,290.75,337.34,,,,288.605,281.58666666666664,279.5,270.28000000000003,244.25666666666666,265.935,264.018,254.43666666666664,247.9133333333333,288.70500000000004,255.695,239.75,262.81,243.18,245.46666666666667,267.84000000000003,246.97,263.68,197.89000000000001,233.44,,L7
