dates,nzd0450-0000,nzd0450-0001,nzd0450-0002,nzd0450-0003,nzd0450-0004,nzd0450-0005,nzd0450-0006,nzd0450-0007,nzd0450-0008,nzd0450-0009,nzd0450-0010,nzd0450-0011,nzd0450-0012,nzd0450-0013,nzd0450-0014,nzd0450-0018,nzd0450-0019,nzd0450-0020,nzd0450-0021,nzd0450-0022,nzd0450-0023,nzd0450-0024,nzd0450-0025,nzd0450-0026,nzd0450-0027,nzd0450-0028,nzd0450-0029,nzd0450-0030,nzd0450-0031,nzd0450-0032,nzd0450-0033,nzd0450-0034,nzd0450-0035,nzd0450-0036,nzd0450-0037,nzd0450-0038,nzd0450-0039,nzd0450-0040,nzd0450-0041,nzd0450-0042,nzd0450-0043,nzd0450-0044,nzd0450-0045,nzd0450-0046,nzd0450-0047,nzd0450-0048,nzd0450-0049,nzd0450-0050,nzd0450-0051,nzd0450-0052,nzd0450-0053,nzd0450-0054,nzd0450-0055,nzd0450-0056,nzd0450-0057,nzd0450-0058,nzd0450-0059,nzd0450-0060,nzd0450-0061,nzd0450-0062,nzd0450-0063,nzd0450-0064,nzd0450-0065,nzd0450-0066,nzd0450-0067,nzd0450-0068,nzd0450-0069,nzd0450-0070,nzd0450-0071,nzd0450-0072,nzd0450-0073,nzd0450-0074,nzd0450-0075,nzd0450-0076,nzd0450-0077,nzd0450-0078,nzd0450-0079,nzd0450-0080,nzd0450-0081,nzd0450-0082,nzd0450-0083,nzd0450-0084,nzd0450-0085,nzd0450-0086,nzd0450-0087,nzd0450-0088,nzd0450-0089,nzd0450-0090,nzd0450-0091,nzd0450-0092,nzd0450-0093,nzd0450-0094,nzd0450-0095,nzd0450-0096,nzd0450-0097,nzd0450-0098,nzd0450-0099,nzd0450-0100,nzd0450-0101,nzd0450-0102,nzd0450-0103,nzd0450-0104,nzd0450-0105,nzd0450-0106,nzd0450-0107,nzd0450-0108,nzd0450-0109,nzd0450-0110,nzd0450-0111,nzd0450-0112,nzd0450-0113,nzd0450-0114,nzd0450-0115,nzd0450-0116,nzd0450-0117,nzd0450-0118,nzd0450-0119,nzd0450-0120,nzd0450-0121,nzd0450-0122,nzd0450-0123,nzd0450-0124,nzd0450-0125,nzd0450-0126,nzd0450-0127,nzd0450-0128,nzd0450-0129,nzd0450-0130,nzd0450-0131,nzd0450-0132,nzd0450-0133,nzd0450-0134,nzd0450-0135,nzd0450-0136,nzd0450-0137,nzd0450-0138,nzd0450-0139,nzd0450-0140,nzd0450-0141,nzd0450-0142,nzd0450-0143,nzd0450-0144,nzd0450-0145,nzd0450-0146,nzd0450-0147,nzd0450-0148,nzd0450-0149,nzd0450-0150,nzd0450-0151,nzd0450-0152,nzd0450-0153,nzd0450-0015,nzd0450-0016,nzd0450-0017,satname
1999-11-12 22:19:27+00:00,364.75,383.05,366.97,,370.88,,,,,,,,,,,172.03,174.8,171.69,181.23,,181.67,,181.51,182.79,184.29,190.44,,176.81,,190.52,194.59,216.4,199.54,184.66,191.58,,,,,191.36,,,,,,220.65,,,,245.03,266.6,,,248.45,234.97,,247.51,246.83,238.99,,,239.86,284.39,286.96,297.48,,304.92,272.01,283.35,,,332.33,,,,316.24,278.33,,,,,329.55,,,,,313.89,314.22,324.2,,,,,,,,,232.15,,243.28,269.04,,,,,,,,,,,,,,,,,,,,,,,336.55,,324.0,,319.39,,326.11,327.47,300.4,319.17,367.59,,349.92,327.14,315.43,,,,359.98,,,,,344.21,372.93,,,,,,,L7
1999-11-28 22:18:56+00:00,375.4,385.86,366.97,,370.88,,,,,,,,,,,172.03,174.8,171.69,181.23,,181.67,,181.51,182.79,184.29,190.44,,176.81,,191.17000000000002,200.755,206.675,200.45499999999998,192.64,206.17000000000002,261.92,255.35,,,191.36,,,,252.52,,220.65,,,,245.03,266.6,,311.8,266.91999999999996,254.41000000000003,283.72,240.47,239.195,238.54500000000002,,299.4,246.135,273.39,275.74,300.34000000000003,334.35,304.92,264.66499999999996,275.1,272.89,,314.38,281.65,276.17,274.74,298.18,273.16499999999996,,263.42,,,332.15999999999997,,,327.23,339.85,313.89,314.22,324.2,,,,,,,,230.9,232.04500000000002,258.82,257.505,269.04,,,,,,,,,,,,,,,,,,,,,,325.91,338.73,324.3,323.35,325.48,309.375,315.77,320.685,316.38,301.275,329.21500000000003,355.47,297.31,335.44,317.27,312.69,314.86,,324.93,349.71000000000004,,,,,356.19,386.81,,,,223.8,242.8,,L7
1999-12-07 22:13:17+00:00,375.4,385.86,366.97,,370.88,,,,,,,,,,,172.03,174.8,171.69,181.23,,181.67,,181.51,182.79,182.89999999999998,192.20499999999998,209.2,188.8,209.04,198.54333333333332,211.43999999999997,212.89333333333335,200.45499999999998,206.97333333333333,211.91,243.875,246.32999999999998,218.93,,202.215,212.51,209.43,220.39,239.71,234.53,227.57,,,,259.815,284.20000000000005,,293.95000000000005,267.2966666666667,257.2366666666667,277.775,249.58666666666667,245.5,248.91333333333333,,286.625,256.04333333333335,278.62666666666667,275.74,300.08,327.12,315.82000000000005,264.66499999999996,281.93666666666667,290.76,,315.79,300.715,293.69500000000005,294.48,298.18,281.3233333333333,,279.28499999999997,,,325.24333333333334,290.2,290.0,311.625,323.37,308.14,301.54,307.555,300.52,303.67,287.31,,,256.78,248.97,248.365,234.97333333333336,269.08500000000004,264.24666666666667,273.64,,,,,301.28,,,,,237.37,236.62,234.69,225.82,215.95,226.44,204.3,255.19,263.85,270.94,277.59,294.7,307.435,333.13000000000005,308.58000000000004,309.24,312.615,290.6033333333333,310.91499999999996,309.1666666666667,301.00333333333333,290.6433333333333,329.21500000000003,355.47,288.14,335.44,305.9866666666667,304.2266666666667,298.45000000000005,,309.61,349.71000000000004,304.29,296.51,294.46,301.9,356.19,354.0933333333333,,,,223.8,242.8,,L7
1999-12-14 22:19:31+00:00,357.8966666666667,365.1166666666666,356.92,,368.44,,,,,,,228.95,195.4,183.38,163.77,172.03,174.8,171.69,181.23,,181.67,,181.51,182.79,182.89999999999998,192.20499999999998,217.655,188.43999999999997,227.89499999999998,198.54333333333332,225.655,212.89333333333335,200.45499999999998,219.6475,211.91,248.55333333333337,246.32999999999998,233.66500000000002,,193.74666666666667,198.97,194.385,201.89,239.71,216.18,227.57,,,,259.815,284.20000000000005,,293.95000000000005,267.2966666666667,257.2366666666667,277.775,243.23,240.0925,244.5225,231.03,286.625,256.04333333333335,278.62666666666667,263.66,300.08,327.12,315.82000000000005,259.03333333333336,276.32500000000005,283.43,229.08,315.79,300.715,293.69500000000005,294.48,298.18,281.3233333333333,215.92,273.89000000000004,,250.83,325.24333333333334,274.365,275.8,302.17333333333335,315.50666666666666,306.17,301.54,307.555,300.52,303.67,287.31,,,243.385,266.135,248.365,234.97333333333336,262.0466666666667,266.33500000000004,273.64,,202.42,,,301.28,222.38,235.17,,,239.885,239.10000000000002,238.63,231.70999999999998,222.49,221.9,204.62,242.505,249.54000000000002,259.015,269.375,279.29499999999996,289.9433333333333,312.05,290.15333333333336,294.3325,289.0833333333333,272.535,289.44666666666666,308.6425,286.15500000000003,292.84749999999997,329.21500000000003,341.97,292.94666666666666,329.5233333333333,305.9866666666667,297.69,303.9533333333333,224.6,295.5933333333333,349.71000000000004,284.94,281.9,280.71500000000003,283.78,356.19,333.645,255.82,250.22,,223.8,242.8,,L7
2000-11-14 22:16:30+00:00,264.77,274.23,,221.95,,211.8,197.51,192.86,182.57,175.66,,,,,186.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.28,224.88,,239.88,247.79,,,248.72,,253.22,251.66,252.95,261.9,261.16,258.37,286.82,253.74,253.34,,,,253.92,285.96,308.31,299.76,283.3,,,230.75,,,,,,,214.28,,,248.25,,243.35,240.09,,,,,,,,,274.79,,239.16,,,,,,,,,,255.17,266.32,189.64,208.01,,,231.12,227.49,,,,,243.6,230.31,236.23,,,253.81,258.54,243.42,,,232.82,229.41,225.57,,,,,,227.18,,,,,194.0,,309.41,,,,,384.35,304.33,263.64,272.2,,,,,L7
2000-12-16 22:16:35+00:00,281.085,291.09000000000003,,230.315,,214.265,201.39,194.35000000000002,185.28,174.09,252.37,232.75,229.14,214.28,195.615,189.08,176.84,206.65,186.14,,,,,,,,,203.16,206.69,205.77,,231.32,235.92,238.24,197.66,201.06,211.64,219.31,215.54,223.85,218.65,249.99,207.935,233.385,,256.88,257.43,,,264.35,281.38,261.55,251.66,273.455,280.34,278.65,272.265,289.6,277.20000000000005,253.34,307.7,318.41,318.43,280.94,282.7,311.89,296.91499999999996,283.3,346.09,,230.75,,349.79,305.29,,318.13,313.75,214.28,,344.75,248.25,318.62,243.35,240.09,287.88,307.06,316.28,278.92,,312.49,319.29,315.48,274.79,,228.14499999999998,,,217.14,261.83,243.04,259.56,,,,255.17,280.53999999999996,189.64,208.01,,,231.12,219.845,,210.81,270.83,,250.36,240.41,241.51,230.56,251.21,262.46000000000004,264.265,248.255,266.33,243.4,238.035,236.08499999999998,240.73,237.12,237.3,,,,238.875,266.09,271.54,263.91,280.68,223.29500000000002,292.4,294.745,302.15,295.25,,304.94,342.32000000000005,304.195,263.64,290.825,,199.6,206.35,,L7
2001-01-01 22:16:33+00:00,291.84666666666664,306.6066666666666,328.24,230.315,,238.84,231.75333333333333,222.61,185.28,174.09,267.51,248.7,229.14,214.28,219.88,201.44,176.84,225.015,200.55,235.89,205.06,224.11,184.87,186.03,191.43,201.15,203.9,208.465,208.275,212.115,,229.375,233.635,230.45,210.49,209.85,213.89499999999998,217.655,215.14999999999998,223.285,219.32,234.86,215.7733333333333,233.385,194.22,256.88,257.43,209.73,,264.35,281.38,254.49,242.14,278.27,289.8533333333333,281.90000000000003,276.0466666666667,302.2866666666667,282.9166666666667,253.34,306.98,306.42,308.485,291.74666666666667,293.0933333333333,311.89,296.91499999999996,283.3,346.09,,230.75,,349.79,305.29,,318.13,313.75,214.28,,344.75,248.25,318.62,243.35,240.09,287.88,307.06,316.28,278.92,,312.49,319.29,316.295,274.79,,228.14499999999998,285.32,244.8,217.14,261.83,243.04,259.56,,,,255.17,280.53999999999996,189.64,208.01,,,231.12,219.845,,210.81,270.83,,250.36,240.41,241.51,230.56,266.235,271.97333333333336,275.47,248.255,276.255,250.985,244.4766666666667,245.70000000000002,245.34,253.04500000000002,255.645,270.09,,,241.3033333333333,255.315,264.71500000000003,263.015,271.265,237.78666666666666,277.65,284.33666666666664,294.1,288.945,297.65,304.3,340.79333333333335,308.67,263.64,290.825,,242.075,236.56,245.57,L7
2001-01-26 22:10:54+00:00,306.5475,320.245,328.24,230.315,336.42,259.2725,245.995,237.10000000000002,185.28,174.09,271.8533333333333,257.62666666666667,229.14,214.28,230.255,201.44,176.84,229.69333333333336,208.56333333333336,227.755,203.01999999999998,212.955,195.095,197.10500000000002,198.8,211.37,218.43,208.465,218.86,223.5,270.73,238.55333333333337,252.80666666666664,237.92666666666665,226.59666666666666,216.73000000000002,219.39333333333332,224.88333333333333,219.9,229.18666666666664,226.81333333333336,237.4766666666667,226.52249999999998,233.385,240.255,256.88,257.43,209.73,,264.35,281.38,254.49,242.14,289.7775,289.8533333333333,281.90000000000003,276.0466666666667,302.2866666666667,282.9166666666667,253.34,306.98,306.42,308.485,291.74666666666667,293.0933333333333,311.89,296.91499999999996,283.3,346.09,,230.75,,349.79,305.29,,318.13,313.75,214.28,,344.75,248.25,318.62,243.35,240.09,287.88,307.06,316.28,278.92,,312.49,319.29,316.295,274.79,,222.29333333333332,285.32,226.4,216.995,250.52499999999998,253.33499999999998,259.08000000000004,,,,255.17,280.53999999999996,189.64,208.01,,,231.12,219.845,,210.81,270.83,,250.36,240.41,241.51,230.56,266.235,271.97333333333336,276.84000000000003,259.92,277.5733333333333,246.76999999999998,249.57,250.78500000000003,251.2425,259.50333333333333,261.7766666666667,269.905,,281.99,249.5525,262.99666666666667,268.6466666666667,270.8833333333334,278.22333333333336,252.26,277.65,284.33666666666664,294.1,288.945,297.65,304.3,346.295,308.67,263.64,290.825,,247.6866666666667,244.9466666666667,256.71000000000004,L7
2001-04-07 22:16:37+00:00,311.012,325.838,330.32500000000005,230.315,336.42,264.82399999999996,250.786,242.75,185.28,174.09,271.525,257.62666666666667,231.865,218.715,232.23199999999997,201.35333333333335,186.26999999999998,222.6725,203.7425,214.1933333333333,195.24333333333334,205.34333333333333,194.9433333333333,192.54999999999998,196.89666666666668,206.66333333333333,213.44000000000003,208.4333333333333,217.36,219.26,261.68,239.3625,258.14,240.385,228.3875,216.625,215.3525,221.2025,217.2425,226.0925,225.0725,238.8375,225.914,234.1,247.07666666666668,262.03,269.1033333333333,209.73,,264.35,296.57,254.49,242.14,289.7775,287.71999999999997,283.245,277.03000000000003,302.3075,285.8175,253.34,310.82,313.61,313.99333333333334,297.395,302.025,321.59,304.87333333333333,283.3,341.9,,230.75,343.97,349.135,321.82000000000005,339.27,318.13,329.28999999999996,214.28,,354.03999999999996,248.25,313.46000000000004,243.35,240.09,299.22,306.425,314.565,278.92,322.04,309.795,319.29,316.295,274.79,,222.29333333333332,267.78999999999996,223.95000000000002,212.75333333333333,246.46666666666667,252.94666666666663,233.16,,200.81,196.95,235.92,260.16,208.85,218.39,239.34,253.24,242.515,230.28333333333333,264.38,233.62,258.065,242.28,243.01666666666668,234.3033333333333,235.34,228.785,266.235,271.97333333333336,276.84000000000003,259.92,277.5733333333333,242.8675,254.26999999999998,247.14600000000002,256.206,253.3725,261.7766666666667,269.905,,281.99,249.5525,262.99666666666667,268.6466666666667,270.8833333333334,278.22333333333336,252.26,266.0933333333333,274.55,295.07666666666665,299.9866666666667,297.65,304.3,347.87800000000004,312.255,263.64,285.7233333333333,,243.69750000000002,243.97750000000002,256.71000000000004,L7
2001-08-29 22:14:52+00:00,328.87,348.21,332.41,,,287.03,269.95,265.35,,,270.54,,234.59,223.15,240.14,201.18,195.7,201.61,189.28,187.07,179.69,190.12,194.64,183.44,193.09,197.25,203.46,208.37,212.86,206.54,252.63,241.79,274.14,247.76,233.76,216.31,203.23,210.16,209.27,216.81,219.85,242.92,223.48,235.53,260.72,272.33,292.45,,,,311.76,,,,281.32,287.28,279.98,302.37,294.52,,318.5,327.99,325.01,314.34,328.82,340.99,320.79,,337.71,,191.65,343.97,348.48,338.35,339.27,,344.83,187.48,,363.33,,308.3,,,310.56,305.79,312.85,,322.04,307.1,,,,,,250.26,219.05,204.27,238.35,252.17,181.32,,200.81,196.95,216.67,219.4,228.06,228.77,239.34,253.24,253.91,251.16,264.38,256.43,245.3,242.28,228.33,222.09,223.0,227.01,,,,,,231.16,273.07,232.59,276.06,234.98,,,,,,,,,,,242.98,245.19,297.03,322.07,,,354.21,323.01,,275.52,,231.73,241.07,,L7
2001-11-01 22:14:53+00:00,,,,246.64,,,231.45,231.09,207.55,201.43,,,,,,,,,,,,,,205.7,210.27,221.62,,,,,,248.19,,235.34,,,,,,,,,,,,,,,,,,202.76,202.82,,,,,,,268.81,,,,,,,,262.42,,,231.925,346.36,,,343.27,,,187.48,,305.43,246.58,,,256.5,,272.57,,,,,,,244.2,,,,,,,,185.98,,208.57,210.64,215.21,227.31,204.28,245.61,222.77,243.83,251.03,250.45,262.26,244.94,238.37,220.19,214.67,213.8,212.93,,,,,,,218.26,,201.4,,,,,,,,,,,,,238.6,245.47,,,,,,,233.75,,393.26,,,,L7
