dates,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0020,nzd0237-0021,nzd0237-0022,nzd0237-0023,nzd0237-0024,nzd0237-0025,nzd0237-0026,nzd0237-0027,nzd0237-0028,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055,nzd0237-0017,nzd0237-0018,nzd0237-0019,satname
1999-12-25 21:58:52+00:00,276.76,300.33,299.87,296.85,,,,272.32,255.79,246.78,,,,,,,,,,,,,,,,270.68,,,,,,322.71,315.47,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-01-10 21:58:52+00:00,276.76,300.33,299.87,296.85,,,,272.32,268.815,246.78,,,,,,,,,,,184.18,228.52,239.37,241.87,262.24,281.91499999999996,322.18,,,,,322.71,315.47,,,330.99,,,339.44,,,,,,,,,,,,,,,,,,L7
2000-03-30 21:58:33+00:00,285.115,307.67499999999995,306.755,304.785,314.19,,,285.39,277.0533333333333,259.925,284.3,,,,,,,,,,184.18,228.52,239.37,241.87,262.24,281.91499999999996,322.18,,,,,322.71,324.48,,,330.99,,,339.44,,,,,,,,,,,,,,,,,,L7
2000-05-17 21:58:07+00:00,285.115,307.67499999999995,306.755,304.785,314.19,,,285.39,277.0533333333333,259.925,284.3,,,,,,,,,,184.18,228.52,239.37,241.87,262.24,281.91499999999996,322.18,,,,,341.495,324.48,,,330.99,,,339.44,,,,,,,,,,,,,,,,,,L7
2001-03-17 21:56:16+00:00,296.6,315.82,328.31,339.84,322.36,,,,,,,,,,,,221.48,,,,,,220.25,229.76,258.03,280.62,323.01,337.59,327.75,339.33,,332.79,329.85,332.26,,332.66,317.34,314.76,316.36,303.02,304.47,304.87,309.82,320.39,320.98,278.08,307.88,325.17,304.05,316.82,341.92,324.65,311.63,,181.78,,L7
2001-08-24 21:54:48+00:00,296.6,315.82,328.31,339.84,322.36,,,,,,,,,,,,221.48,,,,,,220.25,229.76,258.03,280.62,323.01,337.59,327.75,339.33,,332.79,310.285,314.025,,332.66,304.32,303.475,299.495,292.095,290.82500000000005,304.87,309.82,320.39,320.98,278.08,307.88,325.17,304.05,316.82,341.92,324.65,311.63,,181.78,,L7
2001-09-09 21:54:36+00:00,295.595,316.64,323.41999999999996,336.64,323.04,327.48,320.84,319.44,312.39,281.94,319.82,294.46,,,,238.34,222.14,,,,,194.94,225.16500000000002,224.05,261.465,286.505,321.65999999999997,334.62,321.3,336.94,330.98,334.96500000000003,320.51,316.28000000000003,345.4,330.73,310.9266666666667,303.475,299.495,292.095,296.4766666666667,307.01,314.29499999999996,322.685,319.71500000000003,283.53,309.81,326.995,314.125,320.875,334.845,335.5,320.46000000000004,,181.78,,L7
2001-09-25 21:54:28+00:00,297.085,317.46,318.53,327.20500000000004,323.72,327.48,320.84,319.44,312.39,281.94,319.82,294.46,,,,245.715,222.8,,,,,194.94,230.08,218.34,264.9,292.39,323.06,333.53,314.85,334.55,330.98,337.14,315.84,308.29,345.4,328.8,307.72,292.19,282.63,281.17,297.93,307.05499999999995,316.865,318.39,314.49,283.595,315.115,327.79999999999995,324.2,324.93,327.77,346.35,329.29,251.26,181.82,,L7
2002-02-16 21:54:54+00:00,297.085,325.105,327.28999999999996,334.59,338.21500000000003,338.70000000000005,325.90999999999997,319.47,309.46500000000003,289.445,308.83500000000004,297.46,,,,245.715,222.8,,,,172.02,194.94,230.08,218.34,264.9,292.39,327.8833333333333,337.8333333333333,330.815,343.355,348.875,349.595,327.04,321.1466666666667,348.895,333.675,319.3333333333333,292.19,282.63,281.17,297.93,310.0933333333333,318.9066666666667,321.32,320.71999999999997,285.90000000000003,316.44,330.90333333333336,323.095,327.155,335.875,350.17,332.815,232.87,188.82,,L7
2002-08-27 21:54:00+00:00,276.36,284.37,,,276.4,268.92,286.96,,,,,,,,,,,,,,,,,,226.63,265.3,,,,,,,,,311.81,306.34,309.91,308.19,305.09,296.05,288.02,261.12,294.54,285.41,286.32,,,,289.86,314.96,314.38,312.42,,,,,L7
2002-10-14 21:53:43+00:00,276.36,284.37,,,276.4,268.92,286.96,,,,272.31,262.05,261.49,261.91,256.7,240.86,225.69,,,,,,,,226.63,265.3,,,,,,,,,311.81,306.34,309.91,308.19,305.09,296.05,288.02,261.12,294.54,285.41,286.32,,,,289.86,314.96,314.38,312.42,,200.86,,,L7
2003-01-18 21:54:30+00:00,276.36,284.37,311.6,319.42,276.735,272.175,281.53499999999997,,,,272.31,262.05,261.49,261.91,256.7,240.86,225.69,,,,,,,,225.49,261.1,295.85,321.47,303.76,311.72,316.92,,350.91,317.34,311.55,309.745,310.44000000000005,308.26,312.82,295.05,285.16999999999996,267.08000000000004,295.98,291.345,288.5,262.68,292.86,309.12,292.995,314.96,335.66499999999996,312.70500000000004,307.76,200.86,,,L7
2003-04-08 21:54:47+00:00,,322.64,317.70000000000005,317.895,294.71500000000003,293.515,294.105,321.39,305.02,291.69,278.18,262.05,261.49,261.91,256.7,240.86,225.69,,,,,,,,242.075,268.09,295.85,321.47,303.76,311.72,316.92,330.28,350.91,317.34,311.29,313.15,310.97,308.33,320.55,294.05,282.32,273.04,297.42,297.28,290.68,262.68,292.86,309.12,296.13,,356.95,312.99,307.76,200.86,,,L7
2003-10-25 21:44:04+00:00,,313.47,300.29,297.94,290.1,289.53,280.92,276.7,260.76,274.08,272.01,258.16,260.69,255.89,250.31,233.04,219.9,,,174.97,210.08,229.56,243.19,253.46,297.24,300.74,307.3,314.46,310.73,323.06,317.91,318.46,320.04,330.96,330.25,335.99,327.7,323.07,326.14,323.34,299.22,294.07,301.71,295.85,298.51,276.6,298.95,322.34,318.59,322.03,337.26,337.07,334.88,203.77,197.03,,L5
2004-03-01 21:45:02+00:00,311.01,317.505,313.21500000000003,311.04499999999996,298.125,297.495,290.33500000000004,286.605,274.90999999999997,275.6,273.16999999999996,264.305,267.185,263.745,264.78999999999996,258.08,234.255,,,176.4,210.08,229.56,243.19,253.46,300.03499999999997,308.235,320.51,326.99,320.795,324.95,322.645,326.735,324.765,329.845,330.49,337.45500000000004,336.055,336.21500000000003,332.86,330.445,299.22,294.07,309.38,309.505,314.145,276.6,298.95,322.34,318.59,322.03,337.26,337.07,334.88,203.77,216.32999999999998,,L5
