dates,nzd0108-0000,nzd0108-0003,nzd0108-0004,nzd0108-0005,nzd0108-0006,nzd0108-0014,nzd0108-0015,nzd0108-0016,nzd0108-0028,nzd0108-0029,nzd0108-0030,nzd0108-0045,nzd0108-0046,nzd0108-0047,nzd0108-0048,nzd0108-0146,nzd0108-0147,nzd0108-0148,nzd0108-0149,nzd0108-0150,nzd0108-0151,nzd0108-0152,nzd0108-0153,nzd0108-0154,nzd0108-0155,nzd0108-0156,nzd0108-0001,nzd0108-0017,nzd0108-0018,nzd0108-0019,nzd0108-0020,nzd0108-0021,nzd0108-0055,nzd0108-0056,nzd0108-0057,nzd0108-0058,nzd0108-0059,nzd0108-0061,nzd0108-0062,nzd0108-0063,nzd0108-0064,nzd0108-0067,nzd0108-0068,nzd0108-0069,nzd0108-0070,nzd0108-0076,nzd0108-0077,nzd0108-0078,nzd0108-0079,nzd0108-0080,nzd0108-0081,nzd0108-0082,nzd0108-0085,nzd0108-0086,nzd0108-0087,nzd0108-0088,nzd0108-0096,nzd0108-0097,nzd0108-0098,nzd0108-0099,nzd0108-0100,nzd0108-0101,nzd0108-0102,nzd0108-0103,nzd0108-0124,nzd0108-0125,nzd0108-0126,nzd0108-0127,nzd0108-0133,nzd0108-0134,nzd0108-0135,nzd0108-0002,nzd0108-0142,nzd0108-0143,nzd0108-0144,nzd0108-0145,nzd0108-0157,nzd0108-0158,nzd0108-0159,nzd0108-0160,nzd0108-0161,nzd0108-0162,nzd0108-0163,nzd0108-0164,nzd0108-0165,nzd0108-0049,nzd0108-0050,nzd0108-0051,nzd0108-0052,nzd0108-0053,nzd0108-0054,nzd0108-0060,nzd0108-0071,nzd0108-0116,nzd0108-0117,nzd0108-0118,nzd0108-0119,nzd0108-0122,nzd0108-0123,nzd0108-0007,nzd0108-0008,nzd0108-0022,nzd0108-0023,nzd0108-0024,nzd0108-0031,nzd0108-0032,nzd0108-0034,nzd0108-0035,nzd0108-0036,nzd0108-0089,nzd0108-0090,nzd0108-0091,nzd0108-0092,nzd0108-0104,nzd0108-0105,nzd0108-0111,nzd0108-0112,nzd0108-0115,nzd0108-0120,nzd0108-0121,nzd0108-0129,nzd0108-0130,nzd0108-0131,nzd0108-0132,nzd0108-0033,nzd0108-0038,nzd0108-0039,nzd0108-0040,nzd0108-0041,nzd0108-0042,nzd0108-0043,nzd0108-0044,nzd0108-0065,nzd0108-0066,nzd0108-0072,nzd0108-0073,nzd0108-0093,nzd0108-0094,nzd0108-0095,nzd0108-0128,nzd0108-0136,nzd0108-0137,nzd0108-0138,nzd0108-0139,nzd0108-0140,nzd0108-0141,nzd0108-0166,nzd0108-0167,nzd0108-0168,nzd0108-0169,nzd0108-0170,nzd0108-0171,nzd0108-0172,nzd0108-0173,nzd0108-0174,nzd0108-0175,nzd0108-0176,nzd0108-0178,nzd0108-0179,nzd0108-0009,nzd0108-0106,nzd0108-0107,nzd0108-0012,nzd0108-0013,nzd0108-0025,nzd0108-0026,nzd0108-0027,nzd0108-0037,nzd0108-0075,nzd0108-0108,nzd0108-0109,nzd0108-0074,nzd0108-0084,nzd0108-0083,nzd0108-0177,nzd0108-0110,nzd0108-0113,nzd0108-0114,satname
1999-08-26 22:04:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.89,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-27 22:04:48+00:00,,,,,,,,,,,,256.4,,,,,,,,,,,,,,,,,,,,,275.32,269.04,266.65,,,295.21,,,,,,,,,,,,,,,,,,,,,,,,260.08,256.03,279.66,,,,,,,,,,301.0,,,,,280.61,282.18,282.92,245.8,,,,,246.29,295.0,299.69,,266.82,275.22,,,,,,283.13,,,,,,,,,,,,,,,,285.89,,,,,267.51,,,,,,,,,,,,,322.89,,,,,,,,,,,,,,,,,,,,,246.89,,,253.97,,,,,,,,,,,,,298.5,,,,,,,,,,L7
2001-03-24 22:01:59+00:00,,,,,,,,,,,,,,,,296.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.69,274.6,259.13,256.94,,,254.03,286.82,,262.32,,,,,,,,,,,,,,,,,,,,,,,,,216.47,,263.38,294.33,,,,,,,,,,,,,,,228.1,271.95,,,,,279.06,286.27,,296.71,,,,,,,,,,,,,,,267.44,282.59,281.23,,,275.73,261.15,,314.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-12-21 22:00:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.58,,,,,,,,,,,,,309.64,293.9,,,292.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.35,251.1,,,,297.64,,,,,,265.47,280.58,298.86,,,,,,,,,,,,,,,,,,,279.13,,,279.95,261.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-01-22 22:00:40+00:00,,,,,,,,,,,,,,,249.8,280.72,,,,,,,,,,,,,,,,,,,305.53,315.12,304.47,337.29,306.85,319.98,338.67,,299.69,,307.18,,,,,,276.64,272.27,265.2,,,247.58,,,,,,,,,,,,,309.64,293.9,,,292.03,,,289.72,,,,,,,,,,261.45,278.73,290.95,,317.97,,301.66,,,,,,,,,,,,,,,,,,250.35,251.1,,,,297.64,,,,,,265.47,280.58,298.86,,,,,,,,,,,,,,,,,,,279.13,,,279.95,261.05,,,,,,,,,,,,,,,,,,,,,,,,,,,243.66,216.65,,,,,L7
2002-04-12 22:00:37+00:00,,,,,,,,,,,,,,,249.8,280.72,,,,303.74,315.73,318.78,278.91,,,,,,,,,,,,305.53,315.12,304.47,337.29,306.85,319.98,338.67,,299.69,,307.18,,,,,,292.31,272.27,265.2,,,247.58,,241.65,277.51,302.63,296.11,312.15,296.57,220.52,236.4,253.86,262.0,263.88,309.64,293.9,,,292.03,,,289.72,,,,,252.37,260.15,288.0,,289.15,261.45,278.73,290.95,,317.97,,301.66,,,,,,,289.87,,,,,,,,,,,250.35,251.1,,,,286.61,,,,,,265.47,280.58,298.86,,,,,,,,,,,,,,,,,291.51,,293.68,,,279.95,261.05,322.04,,,291.25,302.4,,,,,,,,,,281.15,289.41,,,,,,,,,,,243.66,216.65,,289.63,,,L7
2002-08-02 22:00:01+00:00,,,,,,,,,,,,,,,,,,,,303.74,315.73,319.94,291.81500000000005,280.47,,,,,,,,,,,,,,,,,,303.37,334.6,,,,,,,260.59,307.98,291.76,,,,,,241.65,277.51,302.63,296.11,312.15,296.57,220.52,253.78000000000003,264.82500000000005,267.85,259.905,275.68,280.39,,,,,,,,,,,252.37,250.685,279.155,,286.255,,,,,,,,,,,,,,289.87,,,,,,,,,,,,,,,,275.58,,,,,,264.97,280.67,267.13,265.96,,,,,,,,,,,,,269.31,,,277.435,,308.23,,,,,314.905,,,284.15,294.88,,,,259.43,272.26,292.76,,313.32,,281.15,289.16,,,,,,,,283.19,281.08,,,,,293.565,,,L7
2002-09-19 21:59:35+00:00,,,,,,,,,284.87,270.99,283.87,,,,,,,,,303.74,315.73,319.94,291.81500000000005,280.47,,,,,,,,,,,,,,,,,,303.37,334.6,,,,,,,260.59,307.98,291.76,,,,,,241.65,277.51,302.63,296.11,312.15,296.57,220.52,253.78000000000003,264.82500000000005,267.85,259.905,275.68,280.39,,,,,,,,,,,258.545,250.685,279.155,,286.255,,304.34,,,,,,,,278.96,,,254.98,289.87,,,,,,282.1,310.58,275.36,246.38,,,,,,,275.58,276.19,,,,250.29,276.52,278.915,267.13,265.96,279.91,,,,,264.81,276.24,298.7,,,,,269.31,,,282.1933333333333,,308.23,,,,,314.905,,,284.15,294.88,,,,259.43,254.055,283.67499999999995,,313.32,,281.15,289.16,,,,,,,260.4,283.19,273.205,,,,,293.565,,,L7
2002-12-24 22:00:09+00:00,,,,,,,,,284.87,270.99,283.87,,,,,,,,,,,321.1,304.72,280.47,,,,,,,,,,277.82,,,,,,,,303.37,334.6,,,212.81,255.89,,,260.59,,291.76,,,,,,,,,,,,,271.16,275.79,273.7,255.36,282.015,280.39,,,271.88,276.49,,296.09,,,,,264.72,241.22,270.31,,283.36,,304.34,,,,,,,,278.96,,,254.98,,,,,,,282.1,310.58,275.36,246.38,,,266.2,283.98,235.17,268.24,242.25,276.19,,262.14,,232.035,276.52,278.915,267.13,274.45,279.91,,,,,264.81,276.24,298.7,245.01,,,,269.31,,,277.84666666666664,,212.9,230.14,259.59,260.69,242.12,307.77,,,277.05,287.36,,,,259.43,254.055,283.67499999999995,,313.32,,246.7,288.91,,,,,,,260.4,283.19,273.205,,,,,297.5,,307.22,L7
2003-01-25 22:00:18+00:00,,,,,,,,,286.5,289.57500000000005,272.03999999999996,,302.88,,,,,,,,,321.1,304.72,280.47,,,,,,,,,,277.82,303.4,,288.18,281.92,,,,303.37,291.72,313.14,,212.81,255.89,,,266.855,,291.76,,,,,,,,,,,,,271.16,275.79,273.7,255.36,271.81333333333333,266.605,241.01,,271.88,276.49,,296.09,,,,,264.72,241.22,270.31,,283.36,,304.34,,,,,289.21,,,278.96,,,254.98,,,,,,,282.1,310.58,275.36,276.69,286.27,,266.2,283.98,235.17,268.24,242.25,276.19,,262.14,,232.035,271.6666666666667,273.25666666666666,261.24,266.13,279.91,,,,,278.195,274.58000000000004,298.7,245.01,,,,269.31,,,277.84666666666664,263.54,212.9,230.14,259.59,260.69,255.525,307.77,,,277.05,287.36,,,,259.43,254.055,283.67499999999995,,313.32,,246.7,288.91,,,,274.82,295.8,268.46,260.4,283.19,273.205,,286.52,292.69,,297.5,,307.22,L7
2003-08-13 21:48:45+00:00,,,,,,,,,,,,,,,,,254.92,240.72,303.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.3,238.41,232.39,233.32,,,,,,,,,,,,,,,,281.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2003-09-14 21:49:18+00:00,,,,,,,,,,,,,,,,234.59,237.90499999999997,237.945,284.33500000000004,278.35,,284.26,297.37,301.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.34,,273.37,,,305.27,202.34,216.8,303.72,307.06,287.1,304.49,310.17,319.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.3,238.41,232.39,233.32,,,,,,,,,,,,,,,,281.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-07-14 21:54:07+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.72,,282.49,,296.31,294.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-10-18 21:56:23+00:00,,,,,,,,,,,,,,,,235.11,242.56,256.14,258.72,275.21,287.2,295.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.35,240.34,222.16,229.24,302.72,,301.57,315.25,306.175,311.32500000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,,,,,,,,,,,,,,,,,,,,,,,L5
2004-11-19 21:56:55+00:00,,,,,,,,,,,,,,,,238.67000000000002,246.655,262.85,266.475,281.01,289.49,296.455,,,,302.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.535,238.7,224.23000000000002,231.70499999999998,306.82500000000005,309.6,304.84,314.995,310.62,311.32500000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,,,,,,,,,,,,,,,,,,,,,,,L5
2005-03-11 21:58:44+00:00,,,,,,,,,,,,,,,,248.72333333333333,254.71,264.56333333333333,270.0933333333333,284.89,289.49,296.455,,,,302.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.15,245.92999999999998,237.65,244.79999999999998,310.93,309.6,316.015,314.995,317.775,327.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.02,220.79,,,,,,,,,,,,289.0,,,,,,,,,,,,,,,,,,,,,,,L5
2005-07-17 21:59:35+00:00,,,,,,,,,,,,,,,,268.83,270.82,267.99,277.33,299.55499999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.13,260.99,269.565,270.99,,,302.77,,286.32,322.06,322.91,,,,,,,,,,,,,,,256.03,,,,,,,,,,,,,,,,,,,,,244.82,,331.94,,279.16,,,,,,,,,,,,,,,,,318.53,,,217.02,220.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-09-03 21:59:56+00:00,,,,,,,,,,,,,,,,264.01,266.6,273.9,277.33,299.55499999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.13,260.99,269.565,270.99,,,291.995,303.52,300.155,322.06,322.91,,,,,,,,,,,,,,,256.03,,,,,,,,,,,,,,,,,,,,,244.82,,331.94,,279.16,,,,,,,,,,,,,,,,,318.53,,,217.02,220.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
