dates,nzd0248-0000,nzd0248-0001,nzd0248-0002,nzd0248-0003,nzd0248-0004,nzd0248-0005,nzd0248-0006,nzd0248-0007,nzd0248-0008,nzd0248-0009,nzd0248-0010,nzd0248-0011,nzd0248-0012,nzd0248-0013,nzd0248-0014,nzd0248-0015,nzd0248-0016,nzd0248-0017,nzd0248-0018,nzd0248-0019,nzd0248-0020,nzd0248-0021,nzd0248-0022,nzd0248-0023,nzd0248-0024,nzd0248-0025,nzd0248-0026,nzd0248-0027,nzd0248-0028,nzd0248-0029,nzd0248-0030,nzd0248-0031,nzd0248-0032,nzd0248-0033,nzd0248-0034,nzd0248-0035,nzd0248-0036,nzd0248-0037,nzd0248-0038,nzd0248-0039,nzd0248-0040,nzd0248-0041,nzd0248-0042,nzd0248-0043,nzd0248-0044,nzd0248-0045,nzd0248-0046,nzd0248-0047,nzd0248-0048,nzd0248-0049,nzd0248-0050,nzd0248-0051,nzd0248-0052,nzd0248-0053,nzd0248-0054,nzd0248-0055,nzd0248-0056,nzd0248-0057,nzd0248-0058,nzd0248-0059,nzd0248-0060,nzd0248-0061,nzd0248-0062,nzd0248-0063,nzd0248-0064,nzd0248-0065,nzd0248-0066,nzd0248-0067,nzd0248-0068,nzd0248-0069,nzd0248-0070,nzd0248-0071,nzd0248-0072,nzd0248-0073,nzd0248-0074,nzd0248-0075,nzd0248-0076,nzd0248-0077,nzd0248-0078,nzd0248-0079,nzd0248-0080,nzd0248-0081,nzd0248-0082,nzd0248-0083,nzd0248-0084,nzd0248-0085,nzd0248-0086,nzd0248-0087,nzd0248-0088,nzd0248-0089,nzd0248-0090,nzd0248-0091,nzd0248-0092,satname
1999-12-25 21:59:16+00:00,,,,234.04,,254.7,269.9,,,,,,,259.95,271.44,273.88,275.79,269.48,279.78,280.83,292.9,,,,286.66,297.23,294.91,303.46,,290.82,,,,,291.85,,278.91,,242.09,,,,,,,,,,291.7,287.7,292.9,275.21,,,272.15,,258.88,267.34,283.39,263.78,278.34,244.32,270.94,265.37,264.25,212.2,188.43,244.49,263.93,287.64,294.34,291.67,296.99,296.67,298.41,,297.95,282.09,301.28,266.18,286.93,294.55,296.45,303.06,302.2,313.1,302.42,302.78,300.56,308.7,,,,L7
2000-01-10 21:59:16+00:00,,,,234.04,,254.7,269.9,,,,,,,259.95,271.44,273.88,275.79,269.48,279.78,280.83,302.42999999999995,,,,286.66,297.23,294.91,303.46,,290.82,,,,,291.85,,278.91,,242.09,,,,,,,,,324.24,291.7,287.7,292.9,275.21,,354.77,272.15,,258.88,267.34,283.39,263.78,278.34,244.32,270.94,265.37,282.95,212.2,188.43,261.20000000000005,281.53999999999996,301.38,294.34,303.235,311.03499999999997,296.67,307.395,,297.95,298.04499999999996,306.57,278.85,286.93,294.55,296.45,309.59000000000003,307.235,319.225,316.105,302.78,314.345,318.185,,,,L7
2000-02-27 21:58:40+00:00,,,,234.04,,254.7,279.87,306.39,,339.82,340.63,341.19,,271.88,273.98,279.175,284.36,273.985,286.75,287.63,308.9433333333333,346.43,336.2,,303.68,308.975,306.58500000000004,316.29499999999996,341.82,298.57,,,,,291.85,,278.91,,242.09,,,,,,,,,324.24,291.7,287.7,292.9,275.21,,354.77,272.15,,258.88,267.34,283.39,263.78,278.34,244.32,270.94,265.37,282.95,212.2,188.43,261.20000000000005,281.53999999999996,301.38,294.34,303.235,311.03499999999997,296.67,307.395,,297.95,298.04499999999996,306.57,278.85,286.93,294.55,296.45,309.59000000000003,307.235,319.225,316.105,302.78,314.345,318.185,,,,L7
2000-03-14 21:58:59+00:00,,,,234.04,,260.88,279.87,306.39,,339.82,340.63,341.19,,272.84666666666664,274.2966666666667,282.62666666666667,284.05,276.3666666666667,287.33666666666664,290.82,309.90999999999997,346.43,336.2,,303.68,308.975,306.58500000000004,316.29499999999996,341.82,298.57,,,,,291.85,,278.91,,242.09,,,,,,,,,324.24,291.7,287.7,292.9,275.21,,354.77,272.15,,258.88,267.34,283.39,263.78,278.34,244.32,270.94,265.37,282.95,212.2,188.43,261.20000000000005,281.53999999999996,301.38,294.34,303.235,311.03499999999997,296.67,307.395,,297.95,298.04499999999996,306.57,278.85,286.93,294.55,296.45,309.59000000000003,307.235,319.225,316.105,317.68499999999995,314.345,318.185,,,,L7
2000-03-30 21:58:33+00:00,,,,244.21499999999997,314.6,260.88,283.3533333333333,310.345,288.76,326.575,325.57,338.61,,272.84666666666664,261.0,282.62666666666667,284.05,276.3666666666667,287.33666666666664,290.82,309.90999999999997,346.43,336.2,,303.68,308.975,308.4433333333333,333.08666666666664,353.1,312.5133333333333,347.51,357.5,334.78,324.83,303.86,318.9,292.58500000000004,305.1,257.225,225.42,,,,,,,350.85,331.19,291.7,287.7,292.9,275.21,,354.77,272.15,,258.88,267.34,283.39,263.78,278.34,244.32,270.94,265.37,282.95,212.2,188.43,261.20000000000005,281.53999999999996,301.38,294.34,303.235,311.03499999999997,296.67,307.395,,297.95,298.04499999999996,306.57,278.85,286.93,288.675,304.65999999999997,309.59000000000003,307.12666666666667,319.225,314.06666666666666,317.68499999999995,314.345,318.185,,,,L7
2000-07-04 21:57:38+00:00,,,,254.39,314.6,267.06,290.08,310.345,288.76,326.575,325.57,338.61,,279.29499999999996,257.52,287.0,288.18000000000006,279.81,291.115,295.81500000000005,315.58,346.43,336.2,,320.7,320.72,315.21000000000004,347.9,353.1,323.36,347.51,357.5,329.695,324.83,315.87,318.9,306.26,305.1,272.36,225.42,,,,,,,350.85,331.19,,,,,,354.77,,,288.58,301.69,298.51,302.17,297.14,211.35,,,301.65,,,277.91,299.15,315.12,,314.8,325.08,,316.38,,,314.0,311.86,291.52,,282.8,312.87,316.12,309.59000000000003,325.35,319.89,332.59,328.13,327.67,,,,L7
2000-11-09 21:56:45+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.55,329.16,330.41,327.49,331.67,320.8,325.94,319.79,305.11,,,,,,169.06,,335.65,327.44,317.15,318.41,,,,,328.08,,313.14,301.075,321.605,298.51,302.17,297.14,211.35,,,,,,,,,,334.72,,,,,,,,,,,,319.65,324.07,330.74,328.44,326.38,307.04,292.25,304.05,312.62,320.06,L7
2001-03-17 21:56:16+00:00,,,,262.8,290.54,258.96,297.99,301.87,305.82,298.05,264.46,,300.57,,,,,,,,,,,,,,,,,328.55,329.16,330.41,330.37,331.67,320.8,320.655,319.79,305.11,,,,,,169.06,,335.65,327.44,317.15,318.41,,278.29,274.45,289.47,328.08,282.52,313.14,313.57,341.52,,,,,282.83,277.7,290.29,194.13,183.42,243.07,266.26,282.76,292.64,314.745,286.96,287.95,293.66,295.99,294.42,281.5,290.67,266.67,,278.98,291.75,308.92499999999995,311.01,322.905,310.005,312.53999999999996,293.08500000000004,288.255,309.65,321.13,332.015,L7
2001-09-09 21:54:36+00:00,,,,262.8,290.54,258.96,297.99,301.87,305.82,293.58500000000004,277.1,311.4,298.71500000000003,275.38,258.86,,,282.21,,303.33,,,320.87,,,,,,,,,,,,,315.37,,,,,,,178.88,171.32,,304.39,320.71,286.01,284.35,,308.505,300.83500000000004,307.795,320.8,302.78499999999997,320.24,303.76,312.28,304.12,312.79,304.76,,296.26,294.75,298.83500000000004,194.13,183.42,261.24,266.26,297.98,301.78499999999997,308.41499999999996,307.17499999999995,309.52,308.86,303.485,302.365,299.02,310.11,266.67,306.58,278.98,291.75,308.13,309.41999999999996,321.08500000000004,311.24,316.135,293.98,302.02,329.71000000000004,338.025,343.97,L7
2001-09-25 21:54:28+00:00,,,,232.78,265.68,240.6,262.81,,,289.12,289.74,311.4,296.86,275.38,258.86,,,275.53999999999996,278.51,296.67499999999995,,,320.87,,,283.12,294.92,,,,,,302.01,296.49,290.34,291.1,,,,,,,178.88,171.32,,304.39,320.71,286.01,284.35,,338.72,327.22,313.20500000000004,320.8,303.475,295.305,285.89,292.955,285.355,293.24,294.04999999999995,,292.54499999999996,301.95500000000004,296.225,241.67,185.19,263.8,273.58,302.505,299.645,307.865,311.52,314.695,310.56,302.935,301.14,303.665,311.32,268.57,288.34000000000003,,,307.35,302.61,315.29,308.895,313.725,303.21500000000003,309.375,330.24,337.475,340.79,L7
2002-02-16 21:54:54+00:00,,,192.55,247.66000000000003,265.68,240.6,262.81,317.98,319.01,289.12,303.76,315.53999999999996,308.85,294.175,278.44,307.44,307.44,275.53999999999996,278.51,296.67499999999995,,,320.87,,,283.12,294.92,355.08,353.29,,353.36,365.57,302.01,296.49,290.34,291.1,328.28,,,,,,189.475,186.665,,315.03999999999996,332.40999999999997,313.095,310.725,,341.69000000000005,334.355,323.0833333333333,335.37,303.475,295.305,285.89,292.955,285.355,293.24,294.04999999999995,,292.54499999999996,301.95500000000004,296.225,243.55,185.19,263.8,273.58,302.505,299.645,307.865,311.52,322.8,310.56,302.935,301.14,303.665,311.32,268.57,288.34000000000003,,,307.35,302.61,315.29,308.895,313.725,303.21500000000003,309.375,330.24,337.475,340.79,L7
2002-10-14 21:54:07+00:00,,,,,,,,,,,293.38,300.51,295.98,,,,,,,306.16,,314.34,,,,,,,,,,,,,,,,290.77,258.76,218.66,,,,,,300.63,317.63,320.34,313.71,320.62,307.34,305.64,311.47,,302.9,279.78,275.88,287.7,271.74,274.24,266.67,259.67,296.24,299.61,289.89,250.99,186.94,261.81,289.76,307.76,308.25,309.18,315.58,317.91,314.89,324.47,313.24,319.43,318.48,290.47,304.75,301.74,305.0,316.54,313.31,321.17,316.02,314.59,318.37,327.01,328.01,344.46,,L7
2002-12-01 21:54:40+00:00,,,,,256.42,239.52,266.49,256.57,251.84,251.93,277.28,281.625,289.97,,,,,263.01,,293.59000000000003,295.38,294.76,,,,,,,300.67,300.04,,292.02,280.76,292.66,284.23,281.1,,290.77,258.76,218.66,,,,,,300.63,317.63,320.34,313.71,320.62,307.34,305.64,311.47,,294.41499999999996,273.11,268.58,277.88,266.895,274.24,266.67,259.67,296.24,293.755,283.555,234.76,186.94,251.03,282.065,301.48,302.41999999999996,302.20500000000004,303.765,309.725,308.435,310.18,293.405,302.43,305.96000000000004,273.365,289.4,287.295,297.33500000000004,308.58500000000004,308.505,315.275,307.26,307.59,308.325,302.01,321.49,334.57,,L7
