dates,nzd0454-0000,nzd0454-0001,nzd0454-0002,nzd0454-0003,nzd0454-0004,nzd0454-0005,nzd0454-0006,nzd0454-0007,nzd0454-0008,nzd0454-0009,nzd0454-0010,nzd0454-0011,nzd0454-0012,nzd0454-0013,nzd0454-0014,nzd0454-0015,nzd0454-0016,nzd0454-0017,nzd0454-0018,nzd0454-0019,nzd0454-0020,nzd0454-0021,nzd0454-0022,nzd0454-0023,nzd0454-0024,nzd0454-0025,nzd0454-0026,nzd0454-0027,nzd0454-0028,nzd0454-0029,nzd0454-0030,nzd0454-0031,nzd0454-0032,nzd0454-0033,nzd0454-0034,nzd0454-0035,nzd0454-0036,nzd0454-0037,nzd0454-0038,nzd0454-0039,nzd0454-0040,nzd0454-0041,nzd0454-0042,nzd0454-0043,nzd0454-0044,nzd0454-0045,nzd0454-0046,nzd0454-0047,nzd0454-0048,nzd0454-0049,nzd0454-0050,nzd0454-0051,nzd0454-0052,nzd0454-0053,nzd0454-0054,nzd0454-0055,nzd0454-0056,nzd0454-0057,nzd0454-0058,nzd0454-0059,nzd0454-0060,nzd0454-0061,nzd0454-0062,nzd0454-0063,nzd0454-0064,nzd0454-0065,nzd0454-0066,nzd0454-0067,nzd0454-0068,nzd0454-0069,nzd0454-0070,nzd0454-0071,nzd0454-0072,nzd0454-0073,nzd0454-0074,nzd0454-0075,nzd0454-0076,nzd0454-0077,nzd0454-0078,nzd0454-0079,nzd0454-0080,nzd0454-0081,nzd0454-0082,nzd0454-0083,nzd0454-0084,nzd0454-0085,nzd0454-0086,nzd0454-0087,nzd0454-0088,nzd0454-0089,nzd0454-0090,nzd0454-0091,nzd0454-0092,nzd0454-0093,nzd0454-0094,nzd0454-0095,nzd0454-0096,nzd0454-0097,nzd0454-0098,nzd0454-0099,nzd0454-0100,nzd0454-0101,nzd0454-0102,nzd0454-0103,nzd0454-0104,nzd0454-0105,nzd0454-0106,nzd0454-0107,nzd0454-0108,nzd0454-0109,nzd0454-0110,nzd0454-0111,nzd0454-0112,nzd0454-0113,nzd0454-0114,nzd0454-0115,nzd0454-0116,nzd0454-0117,nzd0454-0118,nzd0454-0119,nzd0454-0120,nzd0454-0121,nzd0454-0122,nzd0454-0123,nzd0454-0124,nzd0454-0125,nzd0454-0126,nzd0454-0127,nzd0454-0128,nzd0454-0129,nzd0454-0130,nzd0454-0131,nzd0454-0132,nzd0454-0133,nzd0454-0134,nzd0454-0135,nzd0454-0136,nzd0454-0137,nzd0454-0138,nzd0454-0139,nzd0454-0140,nzd0454-0141,nzd0454-0142,nzd0454-0143,nzd0454-0144,nzd0454-0145,nzd0454-0146,nzd0454-0147,nzd0454-0148,nzd0454-0149,nzd0454-0150,nzd0454-0151,nzd0454-0152,nzd0454-0153,nzd0454-0154,nzd0454-0155,nzd0454-0156,nzd0454-0157,nzd0454-0158,nzd0454-0159,nzd0454-0160,nzd0454-0161,nzd0454-0162,nzd0454-0163,nzd0454-0164,nzd0454-0165,nzd0454-0166,nzd0454-0167,nzd0454-0168,nzd0454-0169,nzd0454-0170,nzd0454-0171,nzd0454-0172,nzd0454-0173,nzd0454-0174,nzd0454-0175,nzd0454-0176,nzd0454-0177,nzd0454-0178,nzd0454-0179,nzd0454-0180,nzd0454-0181,nzd0454-0182,nzd0454-0183,nzd0454-0184,nzd0454-0185,nzd0454-0186,nzd0454-0187,nzd0454-0188,nzd0454-0189,nzd0454-0190,nzd0454-0191,nzd0454-0192,nzd0454-0193,nzd0454-0194,nzd0454-0195,nzd0454-0196,nzd0454-0197,nzd0454-0198,nzd0454-0199,nzd0454-0200,nzd0454-0201,nzd0454-0202,nzd0454-0203,nzd0454-0204,nzd0454-0205,nzd0454-0206,nzd0454-0207,nzd0454-0208,nzd0454-0209,nzd0454-0210,nzd0454-0211,nzd0454-0212,nzd0454-0213,nzd0454-0214,nzd0454-0215,nzd0454-0216,nzd0454-0217,nzd0454-0218,nzd0454-0219,nzd0454-0220,nzd0454-0221,nzd0454-0222,nzd0454-0223,nzd0454-0224,nzd0454-0225,nzd0454-0226,nzd0454-0227,nzd0454-0228,nzd0454-0229,nzd0454-0230,nzd0454-0231,nzd0454-0232,nzd0454-0233,nzd0454-0234,nzd0454-0235,nzd0454-0236,nzd0454-0237,nzd0454-0238,nzd0454-0239,nzd0454-0240,nzd0454-0241,nzd0454-0242,nzd0454-0243,nzd0454-0244,nzd0454-0245,nzd0454-0246,nzd0454-0247,nzd0454-0248,nzd0454-0249,nzd0454-0250,nzd0454-0251,nzd0454-0252,nzd0454-0253,nzd0454-0254,nzd0454-0255,nzd0454-0256,nzd0454-0257,nzd0454-0258,nzd0454-0259,nzd0454-0260,nzd0454-0261,nzd0454-0262,nzd0454-0263,nzd0454-0264,nzd0454-0265,nzd0454-0266,nzd0454-0267,nzd0454-0268,nzd0454-0269,nzd0454-0270,nzd0454-0271,nzd0454-0272,nzd0454-0273,nzd0454-0274,nzd0454-0275,nzd0454-0276,nzd0454-0277,nzd0454-0278,nzd0454-0279,nzd0454-0280,nzd0454-0281,nzd0454-0282,nzd0454-0283,nzd0454-0284,nzd0454-0285,nzd0454-0286,nzd0454-0287,nzd0454-0288,nzd0454-0289,nzd0454-0290,nzd0454-0291,nzd0454-0292,nzd0454-0293,nzd0454-0294,nzd0454-0295,nzd0454-0296,nzd0454-0297,nzd0454-0298,nzd0454-0299,nzd0454-0300,nzd0454-0301,nzd0454-0302,nzd0454-0303,nzd0454-0304,nzd0454-0305,nzd0454-0306,nzd0454-0307,nzd0454-0308,nzd0454-0309,nzd0454-0310,nzd0454-0311,nzd0454-0312,nzd0454-0313,nzd0454-0314,nzd0454-0315,nzd0454-0316,nzd0454-0317,nzd0454-0318,nzd0454-0319,nzd0454-0320,nzd0454-0321,nzd0454-0322,nzd0454-0323,nzd0454-0324,nzd0454-0325,nzd0454-0326,nzd0454-0327,nzd0454-0328,nzd0454-0329,nzd0454-0330,nzd0454-0331,nzd0454-0332,nzd0454-0333,nzd0454-0334,nzd0454-0335,nzd0454-0336,nzd0454-0337,nzd0454-0338,nzd0454-0339,nzd0454-0340,nzd0454-0341,nzd0454-0342,nzd0454-0343,nzd0454-0344,nzd0454-0345,nzd0454-0346,nzd0454-0347,nzd0454-0348,nzd0454-0349,nzd0454-0350,nzd0454-0351,nzd0454-0352,nzd0454-0353,nzd0454-0354,nzd0454-0355,nzd0454-0356,nzd0454-0357,nzd0454-0358,nzd0454-0359,nzd0454-0360,nzd0454-0361,nzd0454-0362,nzd0454-0363,nzd0454-0364,nzd0454-0365,nzd0454-0366,nzd0454-0367,nzd0454-0368,nzd0454-0369,nzd0454-0370,nzd0454-0371,nzd0454-0372,nzd0454-0373,nzd0454-0374,nzd0454-0375,nzd0454-0376,nzd0454-0377,nzd0454-0378,nzd0454-0379,nzd0454-0380,nzd0454-0381,nzd0454-0382,nzd0454-0383,nzd0454-0384,nzd0454-0385,nzd0454-0386,nzd0454-0387,nzd0454-0388,nzd0454-0389,nzd0454-0390,nzd0454-0391,nzd0454-0392,nzd0454-0393,nzd0454-0394,nzd0454-0395,nzd0454-0396,nzd0454-0397,nzd0454-0398,nzd0454-0399,nzd0454-0400,nzd0454-0401,nzd0454-0402,nzd0454-0403,nzd0454-0404,nzd0454-0405,nzd0454-0406,nzd0454-0407,nzd0454-0408,nzd0454-0409,nzd0454-0410,nzd0454-0411,nzd0454-0412,nzd0454-0413,nzd0454-0414,nzd0454-0415,nzd0454-0416,nzd0454-0417,nzd0454-0418,nzd0454-0419,nzd0454-0420,nzd0454-0421,nzd0454-0422,nzd0454-0423,nzd0454-0424,nzd0454-0425,nzd0454-0426,nzd0454-0427,nzd0454-0433,nzd0454-0434,nzd0454-0435,nzd0454-0436,nzd0454-0437,nzd0454-0438,nzd0454-0439,nzd0454-0440,nzd0454-0441,nzd0454-0442,nzd0454-0443,nzd0454-0444,nzd0454-0445,nzd0454-0428,nzd0454-0429,nzd0454-0430,nzd0454-0431,nzd0454-0432,satname
1999-08-26 22:07:08+00:00,,,,,,,,,,,,,,,,,,211.41,,,,,,,,293.41,,305.21,,,,,,334.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.42,,,,,,294.3,,,337.37,,,323.59,283.46,,,217.31,301.2,,,,,,,,,,,,,,,244.61,,,,,,,,,,,,,,,,,,,300.23,299.41,268.99,313.42,,,,,,,,,254.7,,,,258.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.14,,,,,,,,,,,313.27,,,,,,,,,,,,,,,,,269.41,263.48,270.41,,,,290.82,322.35,,,,,,,,,,,,,,,,,,,,,204.88,,222.42,,,,,,,,316.8,,276.33,270.36,,,,,,,,,,,,,,,247.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.33,197.31,,,,,,,,,,,,,200.53,239.83,,,,,232.99,,,,,,,,,264.22,243.51,229.01,210.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.15,254.43,269.45,,,,,,,,,,,177.43,252.69,274.79,,,,,,,,223.46,220.03,,216.71,198.59,,,,,,279.75,,268.29,,,,248.25,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-13 22:07:12+00:00,,,,,,,,,,,,177.59,,,,,,211.41,,,,254.4,,,,301.605,,305.21,,,,,313.94,334.66,,,,,,310.7,,,,207.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.42,,,,,,294.3,,,337.37,,,331.865,288.74,,,217.31,308.91499999999996,,,,,,,,,,,,,,,258.90999999999997,,,,,,,,,,,,,,,,,,,300.23,291.775,255.77,308.025,,307.53,,,,,,,254.7,,249.08,,260.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.14,,,,,,,,,,,313.27,,,,,,,,,,,,,,,,,259.15500000000003,260.70500000000004,265.525,,,,290.82,322.35,,,,,,,,,,,,,,,,,,,,,204.88,,222.42,,,,,,,,316.8,,276.33,270.36,,,,,,,,,,,,,,,247.64,,230.32,247.66,,,307.18,,,,,,,,,,,,,,,,,,,,,,,259.94,,214.925,206.78,178.61,169.75,172.77,158.29,150.46,145.96,,,165.61,163.98,164.05,194.14,210.435,238.86,,236.61,,261.22,232.99,,,,,,,,,263.20500000000004,241.665,222.675,210.35,,,,,,318.79,,,,,,312.41,,,,,,,,,,,,,,,,,,,,,,,,,280.15,257.96500000000003,270.90999999999997,275.5,246.75,,,,,,,,242.01,177.43,252.69,274.79,,,,,,,,223.46,220.03,,216.005,200.21,,,,,,279.75,,268.29,,,,246.73000000000002,278.65,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-16 22:07:09+00:00,,,,,,,,,,,322.18,181.085,,,,303.44,,211.41,,,,254.4,,,,301.605,,305.21,,,,,313.94,334.66,,,,,,310.7,,,,207.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.42,,,,,,294.3,,,337.37,,,331.865,288.74,,,217.31,308.91499999999996,,,,,,,,,,,,,,,258.90999999999997,,,,,,,,,,,,,,,,,,,300.23,291.775,255.77,308.025,,307.53,,,,,291.27,182.07,254.7,,249.08,169.28,260.595,314.46,326.2,,315.79,246.01,,,327.94,311.31,,,,,,,,,,,,,,283.61,,,,,,,,,,,,,,267.14,,,,,,,,,,,313.27,,,,,,,,,,,,,,,,,259.15500000000003,260.70500000000004,265.525,,,,290.82,322.35,,,,,,,,,,,,,,,,,,,,,204.88,,222.42,,,,,,,,316.8,,276.33,270.36,,,,,,,,,,,,,,,247.64,,230.32,247.66,,,307.18,,,,,,,,,,,,,,,,,,,,,,,259.94,,214.925,206.78,178.61,169.75,172.77,158.29,150.46,145.96,,,165.61,163.98,164.05,194.14,210.435,238.86,,236.61,,261.22,232.99,,,,,,,,,263.20500000000004,241.665,222.675,210.35,,,,,,318.79,,,,,,312.41,,,,,,,,,,,,,,,,,,,,,,,,,280.15,257.96500000000003,270.90999999999997,275.5,246.75,,,,,,,,242.01,177.43,252.69,274.79,,,,,,,,223.46,220.03,,216.005,200.21,,,,,,279.75,,268.29,,,,246.73000000000002,278.65,,,,,,,,,,,,,,,,,,,,,,,L7
2000-03-21 22:06:49+00:00,,,,,,,,,,,322.18,181.085,,,,303.44,,,305.45,335.22,328.07,254.4,,,276.72,295.70500000000004,190.31,,,,,,301.995,310.8,315.96,,,,,310.7,,,,207.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.6,,,,,,,,,,,,,,,,340.14,286.42499999999995,,,,316.63,,,,170.71,175.38,175.33,171.89,169.89,167.65,164.46,,,,,273.21,,,,,,,,,,,,,,,,,,,324.3,300.22,242.55,318.095,,307.53,,211.5,,258.93,267.945,182.07,,,257.41,169.28,262.58,314.46,326.2,,315.79,246.01,,,327.94,311.31,,,,,,,,,,,,,,283.61,,,,,,,,,,,,229.99,,,,228.72,,,,267.32,,,,,,,,,,,,,,,,,319.13,,,323.98,,264.17499999999995,267.255,270.27,,,,,,,,,,,,,,,,,,267.17,,305.51,,,,,,,,,,,,,,,,,,292.13,276.11,303.9,,320.84,327.04,,,,,,,325.31,,,,265.87,279.48,230.32,247.66,,,307.18,,338.52,340.97,,,,,,,,,,,,,,,,,,,,259.94,,222.52,216.25,178.61,184.985,179.155,163.735,157.78500000000003,151.65,150.06,158.7,162.76,162.44,175.28500000000003,199.995,227.53,244.08999999999997,,236.61,,261.22,,,,,245.82,,328.05,312.9,,262.19,239.82,216.34,,,,,,,318.79,,,,,,312.41,,,,,,,,,,,,,,,,,,,,,,,,,,261.5,272.37,275.5,246.75,,,,,,,,242.01,,,,,,,,,,225.76,,,,225.34,216.08,187.98,,181.13,,193.73,,,,,,,251.48000000000002,278.65,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-08 22:06:20+00:00,,,,,,,,,,,322.18,183.135,,,,303.44,,226.1,302.515,332.16,313.265,,,,262.39,281.61,190.31,,,,,,290.05,308.23,312.29999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.84,309.35,,,,,,,,,,,,,,,,325.32,329.38,,,,,337.32,,,,,,,,,,,,278.83,,,,,,,,179.435,182.64499999999998,184.05,179.285,183.83999999999997,171.06,170.065,,,,,,,,,185.95,,,303.28,276.02,297.02,,,,,,,,,,312.425,302.15,,320.58500000000004,,,,211.5,,258.93,267.945,182.07,,270.62,265.74,197.56,298.11,312.745,326.2,,322.77,262.03999999999996,,,327.94,312.275,,,,,,,,,,,,,,283.61,,,,,,,,,,,,229.99,,,,228.72,,,,267.32,317.11,237.93,244.19,272.82,,,268.15,,,,,,,,,,319.13,,,323.98,,279.45,260.53499999999997,266.205,333.96,337.94,,,,,,,,,,,,,,,,267.17,,305.51,,,,,,,,,,299.88,281.26,279.77,,,,279.63,,292.13,276.11,303.9,,320.84,327.04,,,,,,,325.31,,,,265.87,279.48,,,,,,,338.52,340.97,,,,,243.76,,,,,,,,,,,,,,264.96,253.23,237.03,216.23,191.08,,200.22,185.54,169.18,165.11,157.34,150.06,158.7,159.91,160.9,186.52,205.85,217.905,240.935,259.31,272.28,305.8,259.07,197.67,,331.58,,245.82,,321.755,304.745,,,245.22,232.45,207.47,191.06,,,,,316.52,295.87,198.82,287.49,307.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.3,245.02,,,251.6,248.93,240.37,230.81,224.51999999999998,218.93,199.29,,215.475,230.33,192.175,,181.13,,181.45999999999998,,,,310.23,291.49,,242.095,293.83,301.86,296.54,,,,,,,,,,,,,,,,,,,,,L7
2000-07-27 22:05:24+00:00,,,,,,,,,,,,181.69,,,,,,226.1,302.515,332.16,313.265,,,,263.65000000000003,281.61,190.31,,,,306.04,,290.05,315.5266666666667,312.29999999999995,,,,,,352.66,,192.88,225.5,357.91,341.27,,,,,279.57,,,,,,,,,,,,,,,,,,,,,,,273.84,309.35,,,,,,,,,,,,,,,,321.21000000000004,329.38,,,,297.48,322.43,336.19,,,,332.9,,,,,,,274.885,,,,,266.66,,,179.435,182.64499999999998,184.05,179.285,183.83999999999997,171.06,170.065,,,,,,,,,192.28,325.94,,303.28,276.02,297.02,,,,,,,,256.42,245.56,312.425,298.9866666666667,,313.9866666666667,242.94,259.85,284.15,211.5,,256.805,244.62,,,279.78,265.74,281.98,309.08000000000004,327.245,330.96,,329.75,278.07,,,,313.24,,,,,327.48,,283.26,,,,303.12,,,,,,,,,,,,,,,229.99,,251.75,270.19,228.72,,,,267.32,333.06,237.93,260.23,292.39,,,268.15,,,,,,,,,,319.13,,,323.98,,279.45,260.53499999999997,266.205,333.96,337.94,,,,,,,,,,,,,,,,267.17,,305.51,,,204.39,,,,,,,299.88,281.26,279.77,,,316.43,292.89,,292.13,276.11,303.9,,320.84,327.04,,,,,,,325.31,,,,265.87,279.48,,,,,,,338.52,340.97,,,,,243.76,,,,229.8,243.72,272.55,288.12,239.9,,,179.9,,,268.23,258.2,239.64499999999998,220.72,198.2,181.07,185.85,175.005,152.285,165.11,157.34,150.06,158.7,159.91,160.9,186.52,205.85,217.905,236.57666666666668,261.99,275.565,308.76,259.07,197.67,,331.58,,273.79999999999995,328.85,321.755,304.745,,262.97,245.66500000000002,229.295,207.47,191.06,,295.07,,,328.35,295.87,199.03,293.14,307.13,,,,,,,,,,,,,,,,234.86,240.14,247.58,,,,,,,,,,,,,,198.81,,241.65,,,311.5,,,,235.45,251.76,,,251.6,248.93,240.37,230.81,224.51999999999998,218.93,199.29,,215.475,230.33,207.63666666666666,,186.175,180.44,179.79333333333332,,,309.34,310.23,291.49,311.03,232.01666666666665,290.815,302.61,296.54,,,,,,,,,,,,,,,,283.75,265.32,,,,L7
2000-08-12 22:05:17+00:00,,,,327.5,,,237.49,,,,,181.69,,,,,,226.1,300.2733333333333,333.5566666666667,319.5333333333333,,,,267.005,281.61,190.31,,,177.92,306.04,,290.05,315.5266666666667,312.29999999999995,,,,,,352.66,,192.88,225.5,357.91,353.515,367.37,,,323.89,287.03999999999996,,,,,,,,,,,,,,,,,,,,,,,273.84,309.35,,,,,,,,,,,,288.6,,,,321.21000000000004,329.38,,305.87,,297.48,322.43,336.19,,,,337.0,,,,,286.83,,274.885,,219.9,,,266.66,,,179.435,182.64499999999998,184.05,179.285,183.83999999999997,171.06,170.065,,,,,,,215.38,,199.75333333333333,309.0,,303.28,276.02,297.02,,,,,,,,256.42,245.56,312.425,299.9525,,318.9925,242.94,259.85,284.15,237.69,,256.805,244.62,,,292.5733333333333,267.655,281.98,309.08000000000004,327.245,330.96,,329.75,278.07,,,,313.24,,,,,327.48,,306.18,,278.11,,311.875,,,,249.65,,230.39,263.0,260.76,282.77,,311.44,,,,239.055,252.26,266.64,270.19,228.72,,,325.8,286.0,333.06,237.93,260.23,292.39,,,268.15,,,326.13,,,,,,,305.33,,,323.98,,277.185,261.33,269.05333333333334,333.96,333.33000000000004,,,334.08,,,,,,,320.78,,,,,,267.17,,305.51,,,259.76,300.55,265.0,205.67,,,,299.88,281.26,279.77,,,308.89,292.89,,292.13,276.11,303.9,,320.84,327.04,,,,,,,325.31,,,,265.87,279.48,226.84,230.72,,225.96,222.77,300.71,338.52,340.97,,,299.23,,243.76,,,,229.8,243.72,272.55,288.12,239.9,,,179.9,,,268.23,268.9666666666667,249.87666666666667,231.11666666666667,212.09,181.07,194.03666666666666,175.005,152.285,165.11,157.34,150.06,158.7,159.91,160.9,186.52,205.85,217.905,236.57666666666668,261.99,275.565,308.76,259.07,197.67,317.5,331.58,,273.79999999999995,328.85,321.755,304.745,,262.97,245.66500000000002,229.295,207.47,191.06,,295.07,,,328.35,295.87,243.01333333333332,293.14,307.13,,,,,,,,171.53,,,,201.48,215.07,223.53,261.32,234.86,240.14,247.58,,,,,,,,,,,,,,198.81,,241.65,,,311.5,,,,235.45,251.76,,,251.6,248.93,240.37,230.81,224.51999999999998,218.93,199.29,,215.475,230.33,207.63666666666666,,186.175,180.44,179.79333333333332,,,309.34,310.23,291.49,311.03,232.01666666666665,290.815,302.61,296.54,,,258.08,261.12,272.39,,,,,,,,,,,283.75,281.83500000000004,286.98,,,L7
2001-07-14 22:03:33+00:00,,,,,,,226.68,,255.65,,,,,,,,,137.49,,,,,,,,,,,,,,,,,,,,,315.19,,,,202.68,,334.08,339.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.36,,,,302.84,292.6,,,,337.15,164.92,,,,,,,,276.69,,,265.32,,,,,,,,,,,,,,,,309.19,,235.57,,,284.3,305.3,318.63,322.82,,275.36,260.81,199.92,,,,,,305.74,,,,,,,,,,,,286.26,196.43,,295.39,,,,,,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.07,278.1,,243.75,,,,,,,184.23,,,294.39,317.47,,,,,,,,325.8,285.11,,,,,251.67,257.46,258.57,,,,,,224.82,,,,,,307.93,290.03,,,,,,,,,,306.82,331.68,257.25,260.09,,,,,,,,,,,,,,,298.99,319.37,291.23,324.48,,196.19,,,,,,,,,,,,,,,333.14,,,,,,272.69,,,,,,,,,247.52,,323.34,197.51,318.66,,310.14,307.23,304.37,270.5,,,195.48,191.34,,,,163.8,165.39,,,160.93,,,,,264.5,,,,296.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.42,197.69,223.79,262.06,,,,,275.64,,,,,,,,,,286.87,,,,,,,,,,,,,,,,,,,229.27,,,,,237.4,250.37,,229.41,204.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-08-15 22:03:02+00:00,,,,,,,226.68,,255.65,,,,,,,,,137.49,317.22,339.88,323.36,,,,,,,,,,,,,,,,,,315.19,,,,202.68,220.29,334.08,339.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.36,,,,302.84,292.6,,,314.84,337.15,164.92,,,,264.47,,,,276.69,,,265.32,,,,,,,,,,,,,,,,309.19,,235.57,,,284.3,305.3,318.63,322.82,,275.36,260.81,199.92,,292.32,,,,305.74,,,,342.98,,,,,,,,286.26,188.97,332.84,295.39,307.31,,,,,218.0,,,,,190.14,239.63,276.42,312.57,,,,,,,,,,,,,,,,,,,,,,,270.07,278.1,,243.75,,,,,,,184.23,,,294.39,317.47,,,,,,,,325.8,285.11,,,,,251.67,257.46,258.57,,,,,,224.82,,,,,,307.93,290.03,,,,,,,,,,306.82,331.68,257.25,260.09,,,291.16,274.16,281.66,,,282.05,,,,,,,298.99,319.37,291.23,324.48,,196.19,,,,,,,,,,,,,,,333.14,,,,,,272.69,,,330.71,,,,,,247.52,,323.34,197.51,318.66,,279.16499999999996,282.005,304.37,270.5,,,195.48,191.34,,,,163.8,165.39,,,160.93,,,,,264.5,,,,296.32,333.94,323.0,,326.75,299.56,279.96,,243.01,229.88,210.24,196.23,176.79,,318.49,334.93,,,,,,,,,,,,,,,,,,190.42,197.69,223.79,262.06,,,,,275.64,,,,,,,,,,286.87,,,,,,,,,,,,,,,,,,,229.27,,,,,237.4,250.37,,229.41,204.58,,,,,321.86,,,220.04,298.89,303.98,307.81,300.94,285.4,,,,,,,,,,,,,,270.79,,,,,L7
2001-10-02 22:02:28+00:00,,,,,,,226.68,,255.65,,,,,,,,,137.49,317.22,339.88,323.36,,,,,,,,,,,,,,,,,,315.19,,,,202.68,220.29,334.08,339.72,,,,355.05,,,334.97,347.63,348.26,,,,,269.43,,299.3,,,,350.4,,,,,,,,,,,,,,,,,,,,,,,,,,,177.36,,,,302.84,292.6,,,314.84,337.15,164.92,,,,264.47,,,,276.69,,,265.32,,,,,,,,,,,,,,,,309.19,,235.57,,,284.3,305.3,318.63,322.82,,275.36,260.81,199.92,,292.32,,,,305.74,,,,342.98,,,,,,,,286.26,188.97,332.84,295.39,307.31,,,,,218.0,,,,,190.14,239.63,276.42,312.57,,,,,,,,,,,,,,,,,,,,,,,270.07,278.1,,243.75,,,,,,,184.23,,,294.39,317.47,,,,,,,,325.8,285.11,,,,,251.67,257.46,258.57,,,,,,224.82,,,,,,307.93,290.03,,,,327.31,290.07,,,,,306.82,331.68,257.25,260.09,,,291.16,274.16,281.66,,,282.05,,,,,,340.65,298.99,319.37,291.23,324.48,,196.19,,,,,,,,,,,,,,,333.14,,,,,,272.69,,,330.71,,,,,,247.52,,323.34,197.51,318.66,,279.16499999999996,282.005,304.37,270.5,,,195.48,191.34,,,,163.8,165.39,,,160.93,,,,,264.5,,,,296.32,333.94,323.0,,326.75,299.56,279.96,,243.01,229.88,210.24,196.23,176.79,,318.49,334.93,,,,,,,,,,,,,,,,,,190.42,197.69,223.79,262.06,,,,,275.64,,,,,,,,,,286.87,,,,,,,,,,,,,,,,,,,229.27,,,,,237.4,250.37,,229.41,204.58,,,,,321.86,,,220.04,298.89,303.98,307.81,300.94,285.4,,,,,,,,,,,,,,270.79,,,,,L7
2002-04-12 22:03:01+00:00,,,,,,,,,,,,203.8,153.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.5,,359.36,355.92,357.37,,340.42,,278.06,219.48,,,,,,,,,,,,,,,,,,,247.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.69,235.8,,170.85,,,,,,262.78,,,,348.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.68,323.54,,,,328.44,,326.77,,,,299.44,220.47,,346.08,,,,,,,,,,309.0,,,,,,,,,,,,,,296.5,309.72,,207.57,,,,,,,,230.85,239.66,272.3,276.69,,,,,,,,245.08,,,316.66,346.5,,,,,,,,,286.19,309.29,311.39,249.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.13,,,,,,,,308.56,263.07,291.58,250.61,281.81,,,,,,,,,,,,314.82,280.07,259.16,316.47,307.29,,,,259.93,,,342.51,337.64,290.62,316.13,,292.73,,,,292.96,,246.09,257.41,286.36,306.29,269.53,,,,,,,,,256.96,266.78,,,,,,145.0,,,,,,,,,,,328.93,,,,,,,,337.3,,,270.09,,,,203.2,,303.29,300.47,,,301.26,315.88,272.86,,,,,,,,,161.2,225.29,253.24,230.11,210.65,223.8,235.02,263.22,235.11,236.76,250.49,241.89,,,,,,,,,,,,,216.38,,,,,309.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.19,276.5,,,,L7
