dates,nzd0424-0000,nzd0424-0001,nzd0424-0002,nzd0424-0003,nzd0424-0004,nzd0424-0005,nzd0424-0006,nzd0424-0007,nzd0424-0008,nzd0424-0009,nzd0424-0010,nzd0424-0011,nzd0424-0012,nzd0424-0013,nzd0424-0014,nzd0424-0015,nzd0424-0016,nzd0424-0017,nzd0424-0018,nzd0424-0019,nzd0424-0020,nzd0424-0021,nzd0424-0022,nzd0424-0023,nzd0424-0024,nzd0424-0025,nzd0424-0026,nzd0424-0027,nzd0424-0028,nzd0424-0029,nzd0424-0030,nzd0424-0031,nzd0424-0032,nzd0424-0033,nzd0424-0034,nzd0424-0035,nzd0424-0036,nzd0424-0042,nzd0424-0043,nzd0424-0044,nzd0424-0045,nzd0424-0046,nzd0424-0047,nzd0424-0048,nzd0424-0049,nzd0424-0050,nzd0424-0051,nzd0424-0052,nzd0424-0053,nzd0424-0054,nzd0424-0055,nzd0424-0056,nzd0424-0057,nzd0424-0058,nzd0424-0059,nzd0424-0060,nzd0424-0061,nzd0424-0062,nzd0424-0063,nzd0424-0064,nzd0424-0065,nzd0424-0066,nzd0424-0067,nzd0424-0068,nzd0424-0069,nzd0424-0070,nzd0424-0071,nzd0424-0072,nzd0424-0076,nzd0424-0077,nzd0424-0078,nzd0424-0079,nzd0424-0080,nzd0424-0081,nzd0424-0082,nzd0424-0083,nzd0424-0084,nzd0424-0085,nzd0424-0090,nzd0424-0091,nzd0424-0092,nzd0424-0093,nzd0424-0094,nzd0424-0096,nzd0424-0097,nzd0424-0098,nzd0424-0099,nzd0424-0100,nzd0424-0101,nzd0424-0102,nzd0424-0103,nzd0424-0104,nzd0424-0105,nzd0424-0106,nzd0424-0107,nzd0424-0108,nzd0424-0109,nzd0424-0110,nzd0424-0111,nzd0424-0112,nzd0424-0113,nzd0424-0114,nzd0424-0115,nzd0424-0116,nzd0424-0117,nzd0424-0118,nzd0424-0119,nzd0424-0120,nzd0424-0121,nzd0424-0122,nzd0424-0123,nzd0424-0124,nzd0424-0125,nzd0424-0126,nzd0424-0127,nzd0424-0128,nzd0424-0129,nzd0424-0130,nzd0424-0131,nzd0424-0132,nzd0424-0133,nzd0424-0134,nzd0424-0137,nzd0424-0138,nzd0424-0139,nzd0424-0140,nzd0424-0141,nzd0424-0142,nzd0424-0143,nzd0424-0144,nzd0424-0145,nzd0424-0146,nzd0424-0147,nzd0424-0148,nzd0424-0149,nzd0424-0150,nzd0424-0151,nzd0424-0152,nzd0424-0153,nzd0424-0154,nzd0424-0155,nzd0424-0156,nzd0424-0157,nzd0424-0158,nzd0424-0159,nzd0424-0160,nzd0424-0161,nzd0424-0162,nzd0424-0163,nzd0424-0167,nzd0424-0168,nzd0424-0169,nzd0424-0170,nzd0424-0171,nzd0424-0172,nzd0424-0173,nzd0424-0174,nzd0424-0175,nzd0424-0176,nzd0424-0177,nzd0424-0178,nzd0424-0179,nzd0424-0180,nzd0424-0181,nzd0424-0182,nzd0424-0183,nzd0424-0184,nzd0424-0185,nzd0424-0186,nzd0424-0187,nzd0424-0191,nzd0424-0192,nzd0424-0193,nzd0424-0194,nzd0424-0195,nzd0424-0200,nzd0424-0201,nzd0424-0202,nzd0424-0203,nzd0424-0208,nzd0424-0209,nzd0424-0210,nzd0424-0211,nzd0424-0212,nzd0424-0213,nzd0424-0214,nzd0424-0217,nzd0424-0218,nzd0424-0219,nzd0424-0220,nzd0424-0221,nzd0424-0222,nzd0424-0037,nzd0424-0038,nzd0424-0086,nzd0424-0087,nzd0424-0166,nzd0424-0188,nzd0424-0189,nzd0424-0190,nzd0424-0196,nzd0424-0197,nzd0424-0198,nzd0424-0199,nzd0424-0204,nzd0424-0205,nzd0424-0206,nzd0424-0207,nzd0424-0215,nzd0424-0216,nzd0424-0223,nzd0424-0226,nzd0424-0227,nzd0424-0228,nzd0424-0229,nzd0424-0230,nzd0424-0039,nzd0424-0040,nzd0424-0224,nzd0424-0225,nzd0424-0164,nzd0424-0165,nzd0424-0073,nzd0424-0074,nzd0424-0075,nzd0424-0095,nzd0424-0041,nzd0424-0088,nzd0424-0089,nzd0424-0135,nzd0424-0136,satname
1999-08-26 22:06:44.761,369.13,,,,,,,,,,,344.59,,,,,,,,,,,,,,,,,,,,,,,,,,401.92,,,,,,,,279.31,,,,,400.03,338.3,377.1,,,,,,,,,,,,,,,,,,,,,441.55,334.93,,,,,,,,,,,,228.8,,264.53,,,320.61,316.21,,,438.12,463.58,,,,464.08,,326.47,,365.18,,,,,,,,449.94,444.75,438.8,345.58,,,349.27,,469.54,517.4,299.27,292.54,,491.93,481.27,,,,,407.11,,,,,,363.42,,,,,,,,,,,,,,,,,,241.04,,,,,,,,,,,,,,,,,,,,,325.02,324.0,322.41,243.64,292.92,,247.32,,212.11,258.61,,,,,,234.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-04 22:00:33.926,379.77,,,,,,527.01,,,,,326.155,,,,,,,,,,489.91,494.37,,,,405.86,,,,517.94,508.66,,469.58,,472.53,426.48,401.92,,,,,,,,266.165,,,,,383.73,356.21000000000004,377.1,,,,481.81,,,464.76,,,,,,,,,,,,,,441.55,334.93,,,,,,,,,,,,215.695,,257.335,,169.42,302.065,304.875,,,452.395,479.35,,482.97,505.71,464.08,,345.13,,383.355,,,308.83,246.9,,,,449.94,444.75,438.8,338.46,,,363.04499999999996,,469.54,517.4,299.27,292.54,,491.93,481.27,,,,,407.11,,,,,,363.42,,,,,,,,,487.89,,,,,,,,,255.76999999999998,,,,365.97,,,,,,,479.75,470.69,,438.71,,,,484.82,,346.83,342.11,338.78,341.94000000000005,254.25,307.34000000000003,,262.065,,204.19,247.02,,373.7,374.59,360.62,315.22,252.675,,350.86,,,,,,,,,,,,,,,,,212.4,460.45,451.77,437.65,432.91,455.98,,,,,,,,,,,,,,,,L7
1999-09-27 22:06:48.795,383.1233333333333,385.14,384.19,410.53,418.63,413.01,517.67,517.39,,,,326.155,,,,,,,,,,489.91,494.37,,,,405.86,,,,517.94,508.66,,469.58,,472.53,441.53499999999997,401.92,,,,,,,,266.165,,,,,383.73,356.21000000000004,377.1,,,,481.81,,,464.76,,,,,,,,,,,,,,441.55,334.93,,,,,,,,,,,,215.695,,257.335,,169.42,302.065,304.875,,,452.395,479.35,,482.97,505.71,464.08,,345.13,,383.355,,,308.83,246.9,,,,449.94,444.75,438.8,338.46,,,363.04499999999996,,469.54,517.4,299.27,292.54,,491.93,481.27,,,,,407.11,,,,,,363.42,,,,,,,,,487.89,,,,,,,,,255.76999999999998,,,,351.395,,,,,,,479.72,465.245,,438.71,,,,484.82,,361.135,334.47666666666663,338.78,341.94000000000005,250.93999999999997,307.34000000000003,,262.065,,190.61,247.02,,375.455,374.47,355.43,316.1,264.18,,370.86,,,,,,,341.48,,,,,,,,,,206.60500000000002,468.21500000000003,458.115,442.03999999999996,443.735,470.675,,448.95,,,,,,,,,,,,,,L7
1999-11-30 22:06:35.082,383.1233333333333,385.14,384.19,410.53,418.63,413.01,517.67,517.39,,476.7,,326.155,,,469.68,,,,,,,489.91,494.37,,,,405.86,,,,517.94,508.66,,469.58,,472.53,441.53499999999997,401.92,,,,,,,,266.165,,,,,383.73,356.21000000000004,377.1,,,,481.81,,,464.76,,,,,,,,,,,,,,441.55,334.93,,,,,,,,,,,,215.695,,257.335,,169.42,302.065,304.875,,332.56,452.395,479.35,,476.5,491.065,466.15999999999997,477.16,345.13,,390.4633333333333,,503.48,294.04499999999996,252.735,,,,439.94,446.53499999999997,454.02,338.46,471.47,,363.04499999999996,,469.54,517.4,299.27,307.02,,472.08000000000004,481.27,,,,,407.11,,,,,,379.635,,,,,,,,,486.26,,,,,284.39,,,256.59,264.55,218.23,208.01,,351.395,,,,,,,479.72,465.245,,438.71,,,,484.82,,361.135,334.47666666666663,331.2966666666667,341.94000000000005,259.755,307.34000000000003,,262.065,,190.61,247.02,,375.455,374.47,355.43,316.1,264.18,,370.86,,,,,,,346.61,,,,,,,295.2,,,206.60500000000002,468.21500000000003,458.115,442.03999999999996,443.735,470.675,,448.95,,,,,,,,,,,,,,L7
1999-12-09 22:00:33.510,382.135,378.79999999999995,376.40999999999997,404.18499999999995,406.58,405.23,506.52,503.5,501.68,493.72,450.93,367.93333333333334,458.92,449.81,454.45500000000004,428.63,421.37,,,,,489.91,494.37,,,,405.86,,,,517.94,508.66,,469.58,,472.53,445.21000000000004,401.92,,,,,,,,266.165,,,,,383.73,356.21000000000004,377.1,,,,481.81,,,446.92499999999995,,,406.13,,,,,,,,,,,441.55,334.93,,,,,,,,,,,,215.695,,257.335,,169.42,302.065,304.875,,332.56,452.395,479.35,,476.5,491.065,466.15999999999997,475.69500000000005,345.13,,400.6975,,500.765,294.04499999999996,252.735,463.65,,,446.75333333333333,447.59999999999997,454.02,338.46,491.07000000000005,,363.04499999999996,505.3,469.54,517.4,299.27,307.02,,472.08000000000004,481.27,,,,,407.11,,479.89,485.81,489.87,,379.635,,,372.34,356.03,328.77,314.36,308.06,307.33,486.26,302.91,318.79,329.32,,297.38,,322.43,274.58,263.225,227.695,223.265,,347.2033333333334,,,,,,,479.72,465.245,,438.71,,,,484.82,,361.135,334.47666666666663,331.2966666666667,341.94000000000005,266.082,307.34000000000003,,262.065,,189.0625,233.39333333333335,,367.09999999999997,366.53999999999996,346.23,311.0366666666667,265.3675,,370.86,,,324.48,,,,346.61,,,,,,,281.95,,,201.48666666666668,468.21500000000003,458.115,442.03999999999996,443.735,470.675,,448.95,,,319.6,333.39,,,,,,,,,,L7
1999-12-16 22:06:45.781,382.135,378.79999999999995,376.40999999999997,404.18499999999995,406.58,405.23,506.52,503.5,501.68,493.72,450.93,367.93333333333334,458.92,449.81,454.45500000000004,428.63,421.37,,,,,489.91,494.37,,,,405.86,,,,517.94,508.66,,469.58,,472.53,449.9275,401.92,,,,,,,,266.165,,,,,383.73,356.21000000000004,377.1,,,,481.81,,,446.92499999999995,,,406.13,,,,,,,,,,,441.55,334.93,,,,,,,,,,,,215.695,,257.335,,169.42,302.065,304.875,,332.56,452.395,479.35,,476.5,491.065,466.15999999999997,475.69500000000005,345.13,,400.6975,,500.765,294.04499999999996,252.735,463.65,,,446.75333333333333,447.59999999999997,454.02,338.46,491.07000000000005,,363.04499999999996,505.3,469.54,517.4,299.27,307.02,,472.08000000000004,481.27,,,,,407.11,,479.89,485.81,489.87,,379.635,,,372.34,356.03,328.77,314.36,308.06,307.33,486.26,302.91,318.79,329.32,,297.38,,322.43,274.58,263.225,227.695,223.265,,347.2033333333334,,,,,,,479.72,465.245,,426.62,424.26,,404.83,500.76,,358.21999999999997,339.6625,335.84749999999997,345.74,266.082,322.55333333333334,,277.20666666666665,332.51,189.0625,233.39333333333335,,366.53999999999996,366.78499999999997,347.1125,312.345,267.26800000000003,448.09,383.67333333333335,,,324.48,,437.74,,346.61,,,,,,,281.95,,,201.8175,468.21500000000003,458.115,442.03999999999996,443.735,470.675,383.73,455.725,,,319.6,333.39,,,,,,,,,,L7
2000-01-26 22:00:26.187,385.67600000000004,383.00333333333333,379.93,411.57666666666665,415.2733333333333,408.34,499.265,497.56666666666666,497.065,493.17333333333335,451.86,389.3275,463.375,449.755,454.45500000000004,425.315,432.19,,,,,481.33500000000004,508.415,,,,405.86,,,,517.94,508.66,,469.58,,472.53,453.674,401.92,,,367.34,,,,,266.165,,,,,383.73,356.21000000000004,373.295,,,452.55,472.43,492.9,524.45,446.92499999999995,,,408.12,,,,,,,411.63,,,,442.445,334.24,,,,,,,,410.25,396.18,,,215.695,,257.335,,169.42,302.065,304.875,,332.56,452.395,479.35,,476.5,491.065,400.1466666666667,484.8633333333334,343.65000000000003,,408.666,,500.765,294.04499999999996,252.735,445.39,,,446.75333333333333,449.2025,451.7633333333333,336.7933333333333,491.07000000000005,,363.04499999999996,504.365,469.54,517.4,299.27,307.02,,472.08000000000004,481.27,,,,,407.11,498.71,491.565,484.945,488.765,492.65,379.635,391.55,385.02,373.315,357.315,325.03,315.61,310.01,307.94,486.26,304.45500000000004,321.405,325.11,,297.38,,315.95000000000005,278.8533333333333,261.67199999999997,229.66666666666666,228.42999999999998,,347.2033333333334,,,292.57,,,,479.72,465.245,,426.62,424.26,,404.83,500.76,,358.21999999999997,339.6625,335.84749999999997,345.74,270.22666666666663,322.55333333333334,,277.20666666666665,332.51,186.164,225.005,,366.53999999999996,366.78499999999997,347.1125,312.345,263.6016666666667,466.38,383.67333333333335,209.44,,321.07500000000005,,437.74,,346.61,,,,,,,276.65000000000003,,,195.228,468.21500000000003,458.115,442.03999999999996,443.735,470.675,401.0,453.8333333333333,,,320.49,333.885,,,,407.41,,,,,,L7
2000-02-11 22:00:21.827,385.67600000000004,383.00333333333333,379.93,411.57666666666665,415.2733333333333,408.34,499.265,497.56666666666666,497.065,493.17333333333335,451.86,389.3275,463.375,449.755,454.45500000000004,425.315,432.19,,,,,481.33500000000004,508.415,,,,405.86,,,,517.94,508.66,,469.58,,472.53,453.674,401.92,,,367.34,,,,,266.165,,,,,383.73,356.21000000000004,373.295,,,452.55,472.43,492.9,524.45,446.92499999999995,,,408.12,,,,,,,411.63,,,,442.445,334.24,,,,,,,,410.25,396.18,,,215.695,,257.335,,169.42,302.065,304.875,,332.56,452.395,479.35,,476.5,491.065,400.1466666666667,489.76750000000004,343.65000000000003,,408.666,,500.765,294.04499999999996,252.735,445.39,,,446.75333333333333,449.2025,451.7633333333333,336.7933333333333,491.07000000000005,,363.04499999999996,504.365,469.54,517.4,299.27,307.02,,472.08000000000004,481.27,,,,,407.11,498.71,491.565,484.945,488.765,492.65,379.635,391.55,385.02,373.315,357.315,325.03,315.61,310.01,307.94,494.09999999999997,304.45500000000004,321.405,325.11,,297.38,,315.95000000000005,278.8533333333333,261.67199999999997,229.66666666666666,228.42999999999998,,347.2033333333334,361.57,,311.765,354.15,,,479.72,465.245,,426.62,410.93,,404.56,500.76,,365.435,347.848,345.37600000000003,345.74,270.22666666666663,327.365,,277.20666666666665,323.33500000000004,186.164,225.005,,372.908,372.094,353.554,317.142,263.6016666666667,481.48,383.67333333333335,209.44,,321.07500000000005,,420.62,384.38,353.54333333333335,,,,,,,276.65000000000003,,,199.11333333333334,468.21500000000003,458.115,442.03999999999996,443.735,470.675,401.0,448.34000000000003,,,320.49,333.885,,,,407.41,,,,,,L7
2000-02-27 22:00:16.353,390.45199999999994,384.2475,382.635,411.57666666666665,415.2733333333333,407.05,491.82,495.49,495.2733333333333,492.195,451.86,404.24,463.375,449.755,454.45500000000004,425.315,432.19,,,430.15,443.1,469.04333333333335,508.415,435.39,424.59,,413.63,291.17,324.76,,504.86,495.265,,482.49,,459.485,455.98499999999996,411.39,,,373.715,,,,472.26,253.02,,,,332.8,367.43,374.12,369.49,,456.64,454.46000000000004,471.52666666666664,493.09,524.4300000000001,446.92499999999995,,,408.12,,,,,,,406.4,,,,443.34,333.55,456.7,,397.97,,,,,409.745,384.98,,,218.535,,250.26,,163.365,283.52,293.54,,313.79499999999996,466.67,495.12,,476.5,491.065,346.57666666666665,489.76750000000004,336.90333333333336,,419.53749999999997,,500.765,294.04499999999996,252.735,445.39,483.03,475.77,459.1233333333333,450.68666666666667,458.245,337.2366666666667,476.2633333333333,,376.82,504.1033333333333,,,,321.5,,452.23,,,480.75,510.71,468.61,,505.90999999999997,491.565,484.945,497.6466666666667,499.04999999999995,395.85,398.91499999999996,390.475,375.19,360.4266666666667,328.8333333333333,318.28000000000003,313.52666666666664,310.26666666666665,449.0825,305.6033333333333,322.9766666666667,324.4733333333333,285.36,302.84666666666664,,315.95000000000005,283.5725,266.36400000000003,231.06,231.5225,,347.2033333333334,342.15999999999997,,311.765,335.6,243.01,,479.72,465.245,,426.62,410.93,,404.56,500.76,,365.435,353.555,350.72,357.405,278.4033333333333,338.84666666666664,243.15,292.15,323.33500000000004,172.31799999999998,213.8033333333333,,372.908,372.094,353.554,317.142,266.955,485.36,383.67333333333335,219.375,,324.16,,420.62,384.38,353.54333333333335,,220.89,218.9,300.77,248.45,,277.675,192.11,214.8,197.93285714285713,468.21500000000003,458.115,442.03999999999996,443.735,470.675,401.0,448.34000000000003,,,324.3333333333333,336.30333333333334,508.69,515.53,,407.45000000000005,,,,,,L7
2000-03-30 22:00:09.363,390.67,384.3175,383.5175,408.20666666666665,428.5233333333333,403.85,477.425,491.7925,496.7175,492.88800000000003,451.86,455.57666666666665,463.18,449.83,454.45500000000004,425.315,432.19,,508.65,440.235,458.775,473.17,511.79,453.125,436.86,,421.4,291.17,324.76,,491.78,481.87,,495.4,,446.44,463.94000000000005,411.39,,,373.715,,,,472.26,237.35,,,,351.895,371.74,373.86,370.865,,441.245,453.58666666666664,461.4166666666667,491.00333333333333,524.4300000000001,427.24,,450.21,408.12,399.83,,430.32,,,,406.4,,,412.08,443.635,333.55,449.525,,381.31,,,,,409.745,384.98,,,234.48,,250.38,,157.31,,,,313.79499999999996,,,,470.03,476.42,332.855,489.76750000000004,323.46000000000004,,425.53999999999996,,500.765,279.26,258.57,445.39,478.19,471.55499999999995,460.255,453.515,458.9433333333333,340.185,467.3575,441.43,376.28,504.1033333333333,,,,321.5,,452.23,482.78,471.38,463.62,510.71,468.61,,503.89000000000004,500.8633333333334,492.6166666666666,497.6466666666667,500.08666666666664,395.85,398.3766666666667,389.3566666666666,372.3925,360.93,328.88,319.0,313.895,309.885,404.42,304.7525,322.39750000000004,320.3825,305.235,302.84666666666664,253.93,298.3233333333333,283.5725,265.33000000000004,231.464,231.5225,,320.935,339.84666666666664,,311.765,336.13,243.32,,,,327.21,414.53,410.93,,404.56,516.7,,369.735,367.90500000000003,349.77333333333337,353.34,290.31,355.7,233.04000000000002,307.49,323.33500000000004,165.8875,201.83333333333334,,371.21000000000004,370.51,352.3033333333333,317.83666666666664,258.922,485.36,390.15,262.8433333333333,,325.29,,420.62,384.38,359.57500000000005,,216.755,216.32,295.66999999999996,248.575,366.4,277.675,207.0,232.145,194.28166666666667,,,,,,401.0,448.1366666666667,,,323.275,335.3975,508.69,515.53,,407.45000000000005,,,,,,L7
2000-04-15 21:59:55.745,390.67,384.3175,383.5175,408.20666666666665,428.5233333333333,403.85,477.425,491.7925,496.7175,492.88800000000003,451.86,455.57666666666665,463.18,449.83,454.45500000000004,425.315,432.19,,508.65,440.235,458.775,473.17,511.79,453.125,436.86,,421.4,291.17,324.76,,491.78,481.87,,495.4,,446.44,463.94000000000005,411.39,,,373.715,,,,472.26,237.35,,,,351.895,371.74,373.86,370.865,,441.245,453.58666666666664,461.4166666666667,491.00333333333333,524.4300000000001,427.24,,450.21,408.12,399.83,,430.32,,,,406.4,,,412.08,443.635,333.55,435.98333333333335,,381.31,,455.11,465.72,444.83,409.745,384.98,,,234.48,,250.38,,157.31,,,,313.79499999999996,,,,470.03,476.42,332.855,489.76750000000004,323.46000000000004,,425.53999999999996,,500.765,279.26,258.57,445.39,478.19,471.55499999999995,460.255,453.515,458.9433333333333,340.185,467.3575,441.43,376.28,504.1033333333333,,,,321.5,,452.23,482.78,471.38,463.62,510.71,468.61,,503.89000000000004,500.8633333333334,492.6166666666666,497.6466666666667,500.08666666666664,395.85,398.3766666666667,389.3566666666666,372.3925,360.93,328.88,319.0,313.895,309.885,404.42,304.7525,322.39750000000004,320.3825,305.235,302.84666666666664,253.93,298.3233333333333,283.5725,265.33000000000004,231.464,231.5225,,320.935,339.84666666666664,,311.765,336.13,243.32,497.53,443.46,419.04,344.57,418.08,412.5466666666666,,404.56,503.765,,374.49333333333334,371.1233333333333,356.555,370.345,290.31,363.6975,233.04000000000002,307.49,323.33500000000004,165.8875,201.83333333333334,,375.125,374.12249999999995,355.80499999999995,322.175,258.922,485.36,390.15,282.005,434.61,325.29,401.5,425.25666666666666,401.595,352.60999999999996,284.21,216.755,216.32,295.66999999999996,248.575,377.205,277.675,207.0,232.145,194.28166666666667,,,,,,401.0,448.1366666666667,,,323.275,335.3975,508.69,515.53,,407.45000000000005,,472.45,461.21,,,L7
2000-05-01 21:59:54.563,388.54800000000006,383.62,382.86199999999997,405.02750000000003,428.5233333333333,403.204,482.504,493.38,498.622,495.97,452.24666666666667,461.3125,468.94,450.97249999999997,454.45500000000004,425.315,432.19,,507.05499999999995,458.2133333333333,462.6433333333334,479.0675,507.04,467.7266666666667,439.70666666666665,,421.4,291.17,324.76,,491.78,481.87,,495.4,,446.44,463.94000000000005,411.39,,,373.715,,,,472.26,237.35,,,,351.895,371.74,373.86,370.865,,441.245,453.6225,461.4166666666667,484.42499999999995,524.4300000000001,427.24,316.65,448.96,418.4066666666667,399.83,,430.32,,,,406.4,,,418.075,441.03,343.0,420.015,333.71,369.3233333333333,406.82,451.235,460.345,448.80499999999995,409.745,393.6933333333333,426.02,,234.48,,250.38,,157.31,,,,313.79499999999996,,,,470.03,476.42,332.855,489.76750000000004,323.46000000000004,,431.515,,500.765,293.185,288.825,409.18666666666667,478.19,471.55499999999995,460.255,453.515,458.9433333333333,342.1266666666667,467.3575,458.94,376.28,510.94,474.94,,,321.5,,452.23,482.78,471.38,456.57666666666665,517.34,464.875,,503.89000000000004,500.8633333333334,492.6166666666666,497.6466666666667,500.08666666666664,410.675,398.3766666666667,390.7025,371.162,359.158,323.688,318.036,312.42600000000004,305.912,385.62,303.576,319.276,315.952,311.47,301.21999999999997,270.72,298.67,284.82399999999996,264.06000000000006,230.4416666666667,232.48200000000003,,306.72,334.26,,311.765,336.13,243.32,497.53,443.46,376.935,344.57,418.08,412.5466666666666,,404.56,503.765,,374.49333333333334,371.1233333333333,356.555,370.345,290.31,363.6975,228.20666666666668,307.49,323.33500000000004,161.772,199.1775,,375.125,374.12249999999995,346.472,312.12399999999997,255.37833333333333,485.36,309.22,306.43199999999996,434.555,318.778,401.5,425.25666666666666,401.595,352.60999999999996,284.21,214.10333333333332,214.3066666666667,291.6166666666666,247.5,377.205,277.675,212.35666666666665,238.5566666666667,191.5,,,,,,401.0,448.1366666666667,,,320.228,328.45799999999997,508.69,515.53,,403.8433333333333,,466.78999999999996,447.115,,,L7
2000-05-08 22:05:56.985,388.54800000000006,383.62,382.86199999999997,405.02750000000003,428.5233333333333,403.204,482.504,493.38,498.622,495.97,452.24666666666667,461.3125,468.94,434.314,454.45500000000004,425.315,432.19,,505.05999999999995,468.47,472.59000000000003,483.262,507.04,478.07,439.70666666666665,,421.4,295.515,315.78,,491.78,481.87,,495.4,,436.49,463.94000000000005,409.855,,,373.715,,,,472.26,237.35,,,,351.895,371.74,373.86,370.865,,441.245,453.6225,461.4166666666667,484.42499999999995,524.4300000000001,427.24,316.65,448.96,418.4066666666667,399.83,,430.32,,,,406.4,,,418.075,441.03,343.0,420.015,333.71,369.3233333333333,406.82,451.235,460.345,448.80499999999995,409.745,393.6933333333333,426.02,,234.48,,250.38,,157.31,,,,313.79499999999996,,,,470.03,476.42,332.855,489.76750000000004,323.46000000000004,,431.515,,500.765,293.185,288.825,409.18666666666667,478.19,471.55499999999995,460.255,453.515,458.9433333333333,342.1266666666667,467.3575,458.94,376.28,507.134,474.94,,,321.5,,452.23,482.78,471.38,456.57666666666665,517.34,464.875,,503.89000000000004,500.8633333333334,492.6166666666666,497.6466666666667,500.08666666666664,410.675,398.3766666666667,390.7025,371.162,359.158,323.688,318.036,312.42600000000004,305.912,385.62,303.576,319.276,315.952,311.47,301.21999999999997,270.72,298.67,284.82399999999996,266.925,230.4416666666667,232.48200000000003,353.79,306.72,334.26,,311.765,336.13,243.32,500.975,403.95,373.71000000000004,344.57,418.0533333333333,420.44,491.61,407.3933333333334,510.95000000000005,,370.51,367.8725,356.548,366.8533333333333,290.31,363.6975,228.20666666666668,310.82,325.9766666666667,190.01,199.1775,,372.29800000000006,372.14,346.32166666666666,311.64166666666665,254.99857142857144,485.36,276.6575,306.43199999999996,434.555,318.778,412.985,429.585,414.84999999999997,352.60999999999996,273.525,214.10333333333332,214.3066666666667,291.6166666666666,247.5,377.205,277.675,212.35666666666665,238.5566666666667,189.95875,,,,,,401.0,448.1366666666667,,,320.228,328.45799999999997,508.69,515.53,,403.8433333333333,,466.78999999999996,447.115,,,L7
2000-05-24 22:05:46.512,386.15500000000003,382.3983333333333,381.4666666666667,402.398,428.5233333333333,401.1383333333333,486.07666666666665,493.8316666666667,499.31166666666667,495.84285714285716,452.24666666666667,461.3125,468.94,415.25,454.45500000000004,425.315,432.19,,502.755,471.17600000000004,471.966,484.15166666666664,505.16,481.754,441.1425,,421.4,295.515,315.78,,503.53499999999997,491.53499999999997,,489.33,,436.49,463.94000000000005,406.8333333333333,513.08,,373.715,,,,472.26,237.35,,,,351.895,371.74,373.86,370.865,,441.245,453.6225,461.4166666666667,466.51000000000005,524.4300000000001,427.24,309.61,444.6466666666667,423.7425,406.96500000000003,391.16,434.28,474.17,,317.08,406.4,407.05,,417.81333333333333,437.935,343.0,403.504,333.71,369.3233333333333,399.98,451.235,445.9333333333334,441.94666666666666,395.5333333333333,395.3925,441.245,,234.48,,250.38,,157.31,283.47,278.61,,313.79499999999996,465.93,511.34,,479.62,494.505,332.855,489.76750000000004,323.46000000000004,,430.948,,500.765,303.3833333333333,300.25333333333333,393.94,486.33,482.17333333333335,463.526,457.13,458.9433333333333,343.5175,457.954,464.65000000000003,376.28,507.134,474.94,486.86,,321.5,,452.23,481.865,461.40999999999997,456.57666666666665,517.34,465.24333333333334,417.47,503.89000000000004,500.8633333333334,492.6166666666666,497.6466666666667,500.08666666666664,410.675,398.3766666666667,391.514,371.162,356.32666666666665,316.35833333333335,314.7266666666667,309.7416666666667,303.21,370.045,299.09499999999997,313.37,311.24833333333333,307.52750000000003,299.88199999999995,275.48,297.06,284.84166666666664,265.3971428571429,228.60285714285715,232.56333333333336,336.915,304.38,334.26,,313.3633333333333,336.13,243.92333333333332,500.975,403.95,364.7325,344.57,418.0533333333333,420.44,491.61,407.3933333333334,510.95000000000005,,368.04200000000003,358.878,356.548,366.8533333333333,290.31,363.6975,223.6875,300.38,325.9766666666667,204.78857142857143,193.358,,369.75666666666666,369.4483333333333,341.40714285714284,305.61285714285714,251.01875,485.36,276.6575,306.43199999999996,427.91333333333336,314.31666666666666,412.985,429.585,414.84999999999997,352.60999999999996,273.525,208.2775,211.5225,287.0925,242.14249999999998,377.205,277.675,211.4625,238.395,189.95875,,,,,,401.0,448.1366666666667,,,315.72499999999997,321.2133333333333,508.69,515.53,,395.8775,,457.28999999999996,445.41333333333336,,,L7
